,,,,,,
,,,,,,
SKU,Description,RRP inc VAT,RRP ex VAT,"Suggested 
Promo Inc VAT",New Promo Inc vat,Promo Increase Inc Vat
RIDE ON,,,,,,
Stiga ride on Battery swappable,,,,,,
294386063/M21,Princess 38 Li Kit,£369.00,£307.50,£329.00,£339.00,£10.00
2L0482008/M24,SP185 Li Kit,£455.00,£379.17,£399.00,£409.00,£10.00
299439073/M22,Empress 41 Roller Li Kit,£629.00,£524.17,£559.00,£575.00,£16.00
299489073/M22,Empress 46 Roller Li Kit,£729.00,£607.50,£649.00,£665.00,£16.00
Mountfield Walkbehind Petrol,,,,,,
297411043/M21,HP41,£219.00,£182.50,£189.00,£195.00,£6.00
297412043/M21,SP41,£249.00,£207.50,£219.00,£225.00,£6.00
2L0431048/M19,HP42,£259.00,£215.83,£229.00,£235.00,£6.00
2L0432048/M19,SP42,£309.00,£257.50,£269.00,£275.00,£6.00
2L0482048/M21,SP46,£339.00,£282.50,£299.00,£305.00,£6.00
2L0536048/M21,SP53,£399.00,£332.50,£349.00,£359.00,£10.00
2L0486038/M19,SP46 Elite,£439.00,£365.83,£379.00,£389.00,£10.00
2L0536038/M21,SP53 Elite,£499.00,£415.83,£429.00,£439.00,£10.00
294556043/M22,HW531 PD,£539.00,£449.17,£469.00,£479.00,£10.00
,,,,,,
,,,,,,
294563033/M22,SP555 V,£729.00,£607.50,£649.00,£669.00,£20.00
299439043/M19,S421R PD,£399.00,£332.50,£349.00,£359.00,£10.00
299489043/M19,S461R PD,£519.00,£432.50,£449.00,£459.00,£10.00
294519043/M22,SP505R V,£945.00,£787.50,£819.00,£839.00,£20.00
294569033/M22,SP555 R V,"£1,085.00",£904.17,£939.00,£969.00,£30.00
Atco Walkbehind Battery,,,,,,
299439077/AT1,LINER 16S Li Kit,£629.00,£524.17,£559.00,£575.00,£16.00
299489077/AT1,LINER 18S Li Kit,£729.00,£607.50,£649.00,£665.00,£16.00
Atco Walkbehind Petrol,,,,,,
299439047/AT1,LINER 16S,£399.00,£332.50,£349.00,£359.00,£10.00
299489037/AT9,LINER 18SH,£569.00,£474.17,£499.00,£509.00,£10.00
294519037/AT1,LINER 19 SH V,£945.00,£787.50,£819.00,£839.00,£20.00
294569037/AT20,LINER 22 SH V,"£1,085.00",£904.17,£939.00,£959.00,£20.00
2L0432847/AT1,QUATTRO 16S 4 in 1,£379.00,£315.83,£329.00,£339.00,£10.00
294502837/AT9,QUATTRO 19SH 4 in 1,£499.00,£415.83,£429.00,£499.00,£70.00
294513837/AT9,QUATTRO 19SH V 4 in 1,£779.00,£649.17,£679.00,£749.00,£70.00
294563837/AT1,QUATTRO 22SH V 4 in 1,£849.00,£707.50,£729.00,£749.00,£20.00
HANDHELD,,,,,,
STIGA HANDHELD - 100 series 20v,,,,,,
271504218/UKS,BL 100e Kit,£99.00,£82.50,£89.00,£95.00,£6.00
271504298/UKS,VS 100e Kit,£219.00,£182.50,£189.00,£195.00,£6.00
271102218/UKS,GT 100e Kit,£99.00,£82.50,£89.00,£95.00,£6.00
271404201/UKS,CS 100e Kit,£189.00,£157.50,£169.00,£175.00,£6.00
271302218/UKS,HT 100e Kit,£99.00,£82.50,£89.00,£95.00,£6.00
257022001/UKS,SC 100e Kit (MIN QTY 4),£149.00,£124.17,£129.00,£135.00,£6.00
271724218/UKS,MT 100e Kit,£210.00,£175.00,£189.00,£195.00,£6.00
271432101/ST1,PR 100e Kit,£149.00,£124.17,£129.00,£135.00,£6.00
257122001/ST1,SP 100e Kit Dual set,£229.00,£190.83,£199.00,£205.00,£6.00
271090021/ST1,Extension Pole for PR 100e,£79.00,£65.83,£69.00,£75.00,£6.00
STIGA HANDHELD - 300 series 2x20v,,,,,,
273504501/ST1,BL 300e Kit,£189.00,£157.50,£169.00,£175.00,£6.00
273102501/ST1,GT 300e Kit,£189.00,£157.50,£169.00,£175.00,£6.00
273404501/ST1,CS 300e Kit,£229.00,£190.83,£199.00,£205.00,£6.00
273302501/ST1,HT 300e Kit,£189.00,£157.50,£169.00,£175.00,£6.00
STIGA HANDHELD - 500 & 700 series 48v,,,,,,£0.00
278502208/UKS,BL 500e Kit,£229.00,£190.83,£199.00,£205.00,£6.00
278102208/UKS,GT 500e Kit,£219.00,£182.50,£189.00,£195.00,£6.00
278302208/UKS,HT 500e Kit,£229.00,£190.83,£199.00,£205.00,£6.00
278722208/UKS,MT 500e Kit,£299.00,£249.17,£259.00,£265.00,£6.00
PROMO_BC700EKIT_U,BC 700e Kit,£359.00,£299.17,£319.00,£325.00,£6.00
PROMO_BC700EBKIT_U,BC 700e B Kit,£399.00,£332.50,£349.00,£359.00,£10.00
PROMO_CS700EKIT_U,CS 700e Kit,£339.00,£282.50,£299.00,£309.00,£10.00
"Batteries, Chargers & Accessories 20 Volt",,,,,,
271012008/ST1,E 22,£43.00,£35.83,£39.00,£40.00,£1.00
271014008/ST1,E 24,£65.00,£54.17,£59.00,£60.00,£1.00
271021000/21,C 215,£35.00,£29.17,£35.00,£36.00,£1.00
271021100/21,C 215 DU,£45.00,£37.50,£45.00,£46.00,£1.00
,,,,,,
,,,,,,
"Batteries, Chargers & Accessories 48 Volt",,,,,,
274012004/ST1,E 420,£109.00,£90.83,£99.00,£105.00,£6.00
274014004/ST1,E 440,£142.00,£118.33,£129.00,£135.00,£6.00
,E 450,£179.00,£149.17,£159.00,£165.00,£6.00
274017004/ST1,E 475,£259.00,£215.83,£229.00,£235.00,£6.00
277040008/ST1,BB 700e,£119.00,£99.17,£109.00,£115.00,£6.00
277010008/ST1,E 400 S,£35.00,,£35.00,£35.00,£0.00
274031004/ST1,C 430 FU,£50.00,£41.67,£45.00,£45.00,£0.00
STIGA HANDHELD - Petrol,,,,,,
Grass trimmer & Brush cutters,,,,,,
287110102/ST2,GT 330 A,£149.00,£124.17,£129.00,£135.00,£6.00
287120102/ST2,BC 330 A,£159.00,£132.50,£139.00,£145.00,£6.00
287121102/ST2,BC 330 AB,£179.00,£149.17,£159.00,£165.00,£6.00
287220002/ST1,BC 535,£195.00,£162.50,£169.00,£175.00,£6.00
287221002/ST1,BC 535 B,£239.00,£199.17,£209.00,£215.00,£6.00
287320002/ST1,BC 545,£259.00,£215.83,£229.00,£235.00,£6.00
287321002/ST1,BC 545 B,£279.00,£232.50,£249.00,£255.00,£6.00
283220008/ST1,BC 730,£239.00,£199.17,£209.00,£215.00,£6.00
283221008/ST1,BC 730 B,£259.00,£215.83,£229.00,£235.00,£6.00
283320008/ST2,BC 740,£339.00,£282.50,£299.00,£305.00,£6.00
283321008/ST2,BC 740 B,£369.00,£307.50,£319.00,£325.00,£6.00
283420008/ST2,BC 750,£399.00,£332.50,£349.00,£359.00,£10.00
283424008/ST3,BC 750 B,£439.00,£365.83,£379.00,£389.00,£10.00
283524008/ST3,BC 760 B,£599.00,£499.17,£519.00,£530.00,£11.00
Honda Engine Brushcutters,,,,,,
281210003/21,TR 425 HJ,£337.57,£281.31,£299.00,£305.00,£6.00
281220003/21,BC 425 HJ,£365.78,£304.82,£319.00,£325.00,£6.00
281221003/21,BC 425 HD,£403.39,£336.16,£359.00,£365.00,£6.00
281320003/21,BC 435 H,£469.21,£391.00,£409.00,£419.00,£10.00
281321003/21,BC 435 HD,£525.62,£438.02,£459.00,£470.00,£11.00
281520003/21,BC 450 H,£563.24,£469.37,£499.00,£509.00,£10.00
281521003/21,BC 450 HD,£591.45,£492.88,£519.00,£529.00,£10.00
Chainsaws,,,,,,
240271002/ST2,"PR 730 (10"")",£229.00,£190.83,£199.00,£205.00,£6.00
240271012/ST2,"PR 730 C (10"")",£229.00,£190.83,£199.00,£205.00,£6.00
240381402/ST1,"CS 540 (14"")",£159.00,£132.50,£149.00,£155.00,£6.00
240421602/ST1,"CS 545 (16"")",£199.00,£165.83,£179.00,£185.00,£6.00
240461802/ST1,"CS 750 (18"")",£299.00,£249.17,£259.00,£265.00,£6.00
240521802/ST1,"CS 755 (18"")",£339.00,£282.50,£299.00,£305.00,£6.00
Blowers & Vacs,,,,,,
255127092/ST2,BL 530,£189.00,£157.50,£169.00,£175.00,£6.00
255127002/ST1,BL 530 V,£229.00,£190.83,£199.00,£205.00,£6.00
255175102/ST1,BL 980 R,£459.00,£382.50,£399.00,£409.00,£10.00
Hedgetrimmers & Multitool,,,,,,
252421008/ST2,HT 525,£189.00,£157.50,£169.00,£175.00,£6.00
252422008/ST2,HT 725,£299.95,£249.96,£269.00,£275.00,£6.00
287130152/ST2,MT 330 - 5 in 1,£339.00,£282.50,£299.00,£305.00,£6.00
,,,,,,
,,,,,,
232511610/16,EXTENSION SHAFT,£33.00,£27.50,£29.00,£30.00,£1.00
232511710/15,HEDGE TRIMMER ATTACHMENT,£89.00,£74.17,£79.00,£80.00,£1.00
232511810/15,PRUNER SAW ATTACHMENT,£79.00,£65.83,£69.00,£70.00,£1.00
Mountfield 20v Handheld,,,,,,
271504203/MUK,MAB 20 Li Kit,£99.00,£82.50,£89.00,£95.00,£6.00
271504293/MUK,MVS 20 Li Kit,£210.00,£175.00,£189.00,£195.00,£6.00
271102203/MUK,MTR 20 Li Kit,£99.00,£82.50,£89.00,£95.00,£6.00
271302203/MUK,MHT 20 Li Kit,£99.00,£82.50,£89.00,£95.00,£6.00
271724203/MUK,MMT 20 Li Kit,£210.00,£175.00,£189.00,£195.00,£6.00
Mountfield Handheld - Petrol,,,,,,
252421003/M21,MHT 2322,£189.00,£157.50,£169.00,£175.00,£6.00
255127003/M17,MBL 270 V,£219.00,£182.50,£199.00,£205.00,£6.00
287120123/M16,MMT 2603 (3 in 1),£279.00,£232.50,£249.00,£255.00,£6.00
287120153/M16,MMT 2605 (5 in 1),£329.00,£274.17,£299.00,£305.00,£6.00
CLEANING,,,,,,
Pressure washers,,,,,,
2C1351811/UKS,HPS 235 R,£169.00,£140.83,£149.00,£155.00,£6.00
2C1452113/UKS,HPS 345 R,£289.00,£240.83,£249.00,£255.00,£6.00
2C1502504/UKS,HPS 550 R,£459.00,£382.50,£399.00,£409.00,£10.00
2C1502804/UKS,HPS 650 RG,£559.00,£465.83,£499.00,£509.00,£10.00
Sweepers,,,,,,
2W0755011/ST1,SWP 475,£429.00,£357.50,£379.00,£389.00,£10.00
2W0775012/ST1,SWP 577,£529.00,£440.83,£459.00,£469.00,£10.00
219602532/S17,SWS 600 G,£919.00,£765.83,£799.00,£819.00,£20.00
290602020/16,COLLECTING BOX FOR SWEEPER 600,£99.00,£82.50,£89.00,£95.00,£6.00
290602030/16,FRONT BLADE FOR SWEEPER 600,£99.00,£82.50,£89.00,£95.00,£6.00
219802532/S17,SWS 800 G,"£1,029.00",£857.50,£899.00,£925.00,£26.00
290802020/16,COLLECTING BOX FOR SWEEPER 800,£120.00,£100.00,£109.00,£115.00,£6.00
290802030/16,FRONT BLADE FOR SWEEPER 800,£120.00,£100.00,£109.00,£115.00,£6.00
Snow Throwers,,,,,,
2S2726611/ST1,ST 6272 P TRAC,"£2,799.00","£2,332.50","£2,499.00","£2,565.00",£66.00
2S2767615/ST1,ST 976 T,"£4,499.00","£3,749.17","£3,999.00","£4,099.00",£100.00
"Scarifiers, Tillers & Silex",,,,,,
211360043/M20,MANOR COMPACT 36 V,£299.00,£249.17,£259.00,£269.00,£10.00
211400248/ST1,SVP 40 G,£559.00,£465.83,£499.00,£509.00,£10.00
211360042/ST1,SRC 36 V,£299.00,£249.17,£259.00,£269.00,£10.00
212751142/14,SRC 775 RG,£599.00,£499.17,£539.00,£559.00,£20.00
213851142/ST1,SRC 685 RG,£629.00,£524.17,£579.00,£599.00,£20.00
210870042/ST2,STIGA SILEX 87 G,£899.00,£749.17,£799.00,£819.00,£20.00
219510032/10,STIGA Silex 95 H,£999.00,£832.50,£899.00,£919.00,£20.00
210310022/10,Silex 103 B,"£1,199.00",£999.17,"£1,099.00","£1,129.00",£30.00
290950050/10,Snow blade,£299.00,£249.17,£269.00,£279.00,£10.00
290950020/10,Rear mount rotovator,£369.00,£307.50,£319.00,£329.00,£10.00
290950010/10,Grassland mower,£369.00,£307.50,£329.00,£339.00,£10.00
290950030/10,Double blade bar,£399.00,£332.50,£349.00,£359.00,£10.00
290950070/10,Front brush,£689.00,£574.17,£599.00,£619.00,£20.00
290950040/10,Adj brush with collector,£899.00,£749.17,£799.00,£819.00,£20.00
