product_id,variant_id,shopify_sku,product_title,action
gid://shopify/Product/15729770168693,gid://shopify/ProductVariant/56762432029045,DCT38M-RDM,"Spectrum DCT38M-RDM  38"" Lawn Tractor with Manual Drive",would_retrack
gid://shopify/Product/15712740278645,gid://shopify/ProductVariant/56704165806453,DCT38H,"Spectrum DCT38H 38"" Lawn Tractor with Hydrostatic Drive",would_retrack
gid://shopify/Product/15701079425397,gid://shopify/ProductVariant/56646077841781,KT400-3 PRO,Spectrum KT400-3 Pro 3-in-1 Petrol Lawn Scarifier/Aerator/Sweeper-Groomer,would_retrack
gid://shopify/Product/15656024047989,gid://shopify/ProductVariant/56429648806261,TY31506,Spectrum TY31506 Collection Box,would_retrack
gid://shopify/Product/15634662424949,gid://shopify/ProductVariant/56339343245685,QG18P,Spectrum Qingain QG18P Hand Propelled Petrol Lawnmower - WITH FREE BLADE WORTH £24.95!,would_retrack
gid://shopify/Product/15633607983477,gid://shopify/ProductVariant/56332263063925,QG20SP,Spectrum QG20SP  Petrol Self Propelled Lawnmower – WITH FREE BLADE WORTH £39.95!,would_retrack
gid://shopify/Product/15248343236981,gid://shopify/ProductVariant/55734137749877,MF-2T2630483/M22,SHOP SOILED Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive - INCLUDING FREE PETROL BLOWER VAC WORTH £119.95!!,would_retrack
gid://shopify/Product/15084256362869,gid://shopify/ProductVariant/55530833445237,C-299489037/AT9,Atco Liner 18SH Self-Propelled Petrol Rear-Roller Lawnmower,would_retrack
gid://shopify/Product/14991021179253,gid://shopify/ProductVariant/55249903419765,STIGA-398M,Stiga Tornado 398M Side-Discharge Lawn Tractor,would_retrack
gid://shopify/Product/14989487505781,gid://shopify/ProductVariant/55245257408885,PFC-10G-M,Spectrum PFC-10G-M Jerry Can – 10 Litre,would_retrack
gid://shopify/Product/14978351923573,gid://shopify/ProductVariant/55199142642037,C-299439047/AT1,Atco Liner 16S Self-Propelled Petrol Rear-Roller Lawnmower,would_retrack
gid://shopify/Product/14972174172533,gid://shopify/ProductVariant/55170799763829,C-STF600-PRO,Spectrum STF600-PRO Flail Mower,would_retrack
gid://shopify/Product/14969808879989,gid://shopify/ProductVariant/55164095693173,TG51PD,Spectrum TG51PD Self-Propelled Petrol Lawnmower,would_retrack
gid://shopify/Product/14969759138165,gid://shopify/ProductVariant/55163947188597,TG40PD,Spectrum TG40PD Self-Propelled Petrol Lawnmower,would_retrack
gid://shopify/Product/14873211896181,gid://shopify/ProductVariant/54887542554997,STIG-2F5820245/ST1,Stiga Park 300 LC Front-Cut Ride-On Lawnmower (Inc. 85cm Manual-Lift Deck),would_retrack
gid://shopify/Product/14873211371893,gid://shopify/ProductVariant/54887540687221,STIG-278302208/UKS,Stiga HT 500e KIT 48v Cordless Hedgetrimmer (Inc. Battery & Charger),would_retrack
gid://shopify/Product/14873211240821,gid://shopify/ProductVariant/54887540228469,STIG-278102208/UKS,Stiga GT 500e KIT 48v Cordless Grass-Trimmer (Inc. Battery & Charger),would_retrack
gid://shopify/Product/14873211142517,gid://shopify/ProductVariant/54887539704181,STIG-210870042/ST2,Stiga Silex 87 G Scythe Mower,would_retrack
gid://shopify/Product/14873210159477,gid://shopify/ProductVariant/54887535804789,C-SP22125,Spectrum 408kg-Capacity High-Sided Steel Tipping Trailer | SP22125,would_retrack
gid://shopify/Product/14873208258933,gid://shopify/ProductVariant/54887529382261,MF-2T2630483/M22,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/14873207964021,gid://shopify/ProductVariant/54887528890741,MF-2T2620483/M25,Mountfield 1538H Rear-Collect Lawn Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/14873207865717,gid://shopify/ProductVariant/54887528464757,MF-2T2120483/M25,Mountfield 1530H Rear-Collect Lawn Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/14873207538037,gid://shopify/ProductVariant/54887527711093,MF-2T1210483/M25,Mountfield 1543H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/14873207374197,gid://shopify/ProductVariant/54887527252341,MF-2T0980483/M25,Mountfield 2240H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/14873207112053,gid://shopify/ProductVariant/54887526465909,MF-2T0620483/M25,Mountfield 1538H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/8321736147111,gid://shopify/ProductVariant/45927605764263,C-294519037/AT1,Atco Liner 19SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),would_retrack
gid://shopify/Product/8321736048807,gid://shopify/ProductVariant/45927605600423,C-294569037/AT1,Atco Liner 22SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),would_retrack
gid://shopify/Product/8321733951655,gid://shopify/ProductVariant/45927586332839,MF-281521003/21,Mountfield BC 450 HD 4-Stroke Petrol Brushcutter (Honda Engine),would_retrack
gid://shopify/Product/8321733525671,gid://shopify/ProductVariant/45927584923815,MF-281320003/21,Mountfield BC 435 H 4-Stroke Petrol Brushcutter (Honda Engine),would_retrack
gid://shopify/Product/8321733329063,gid://shopify/ProductVariant/45927584694439,MF-281321003/21,Mountfield BC 435 HD 4-Stroke Petrol Brushcutter (Honda Engine),would_retrack
gid://shopify/Product/8321733230759,gid://shopify/ProductVariant/45927584596135,MF-281221003/21,Mountfield BC 425 HD 4-Stroke Petrol Brushcutter (Honda Engine),would_retrack
gid://shopify/Product/8321732739239,gid://shopify/ProductVariant/45927584465063,MF-281220003/21,Mountfield BC 425 HJ 4-Stroke Petrol Brushcutter (Honda Engine),would_retrack
gid://shopify/Product/8321730904231,gid://shopify/ProductVariant/45927578402983,TG46SE,Spectrum TG46SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,would_retrack
gid://shopify/Product/8321730805927,gid://shopify/ProductVariant/45927578206375,TG46S,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,would_retrack
gid://shopify/Product/8321730609319,gid://shopify/ProductVariant/45927577976999,TG40S,Spectrum TG40S Self-Propelled Petrol Lawnmower,would_retrack
gid://shopify/Product/8321730379943,gid://shopify/ProductVariant/45927577485479,AT-299439077/AT1,Atco Liner 16S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger),would_retrack
gid://shopify/Product/8321729101991,gid://shopify/ProductVariant/45927575519399,STIG-2L0487978/ST1,Stiga Combi 748e V KIT 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. Batteries & Charger),would_retrack
gid://shopify/Product/8321728970919,gid://shopify/ProductVariant/45927575322791,STIG-2T1215481/ST1,Stiga Tornado 5108 Side-Discharge Garden Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/8321727365287,gid://shopify/ProductVariant/45927572930727,STIG-294346068/UKS,Stiga Combi 336e KIT 48v 3-in-1 Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger),would_retrack
gid://shopify/Product/8321725071527,gid://shopify/ProductVariant/45927567360167,STIG-290602030/16,Stiga Front Blade for SWS 600 G Self-Propelled Sweeper | 290602030/16,would_retrack
gid://shopify/Product/8321724907687,gid://shopify/ProductVariant/45927567130791,STIG-290602020/16,Stiga Collection Box for SWS 600 G Self-Propelled Sweeper | 290602020/16,would_retrack
gid://shopify/Product/8321722810535,gid://shopify/ProductVariant/45927562182823,STIG-211400248/ST1,Stiga SVP 40 G Petrol Scarifier,would_retrack
gid://shopify/Product/8321722515623,gid://shopify/ProductVariant/45927558480039,STIG-252421008/ST2,Stiga HT 525 Petrol Hedgetrimmer (60cm Blades),would_retrack
gid://shopify/Product/8321721532583,gid://shopify/ProductVariant/45927553859751,STIG-240271012/ST2,"Stiga PR 730 C Top-Handle Petrol Arborist’s Chainsaw with 1/4"" Chain (25cm Guide Bar)",would_retrack
gid://shopify/Product/8321719435431,gid://shopify/ProductVariant/45927549632679,STIG-283524008/ST3,Stiga BC 760 B Petrol Brushcutter,would_retrack
gid://shopify/Product/8321719271591,gid://shopify/ProductVariant/45927549403303,STIG-283424008/ST2,Stiga BC 750 B Petrol Brushcutter,would_retrack
gid://shopify/Product/8321719173287,gid://shopify/ProductVariant/45927549304999,STIG-283221008/ST1,Stiga BC 730 B Petrol Brushcutter,would_retrack
gid://shopify/Product/8321719074983,gid://shopify/ProductVariant/45927549206695,STIG-283220008/ST1,Stiga BC 730 Petrol Brushcutter,would_retrack
gid://shopify/Product/8321718681767,gid://shopify/ProductVariant/45927547535527,STIG-213851142/ST1,Stiga SRC 685 RG Petrol Front-Tine Tiller,would_retrack
gid://shopify/Product/8321717633191,gid://shopify/ProductVariant/45927545405607,STIG-271102218/UKS,Stiga GT 100e KIT 20v 2-in-1 Cordless Grass-Trimmer & Lawn Edger (Inc. Battery & Charger),would_retrack
gid://shopify/Product/8321717534887,gid://shopify/ProductVariant/45927545274535,STIG-271021000/21,Stiga C 215 SU 20v ePower Single-Port Battery Charger | 271021000/21,would_retrack
gid://shopify/Product/8321717371047,gid://shopify/ProductVariant/45927545012391,STIG-271021100/21,Stiga C 215 DU 20v ePower Twin-Port Battery Charger | 271021100/21,would_retrack
gid://shopify/Product/8321717272743,gid://shopify/ProductVariant/45927544848551,STIG-271014008/ST1,Stiga E24 20v/4Ah ePower Lithium-Ion Battery | 271014008/ST1,would_retrack
gid://shopify/Product/8321717076135,gid://shopify/ProductVariant/45927543832743,STIG-271012008/ST1,Stiga E22 20v/2Ah ePower Lithium-Ion Battery | 271012008/ST1,would_retrack
gid://shopify/Product/8321717010599,gid://shopify/ProductVariant/45927543767207,STIG-271504298/UKS,Stiga VS 100e KIT 20v Cordless Blower-Vac (Inc. 2 x Batteries & Charger),would_retrack
gid://shopify/Product/8321697939623,gid://shopify/ProductVariant/45927477543079,STIG-2L0536548/ST2,Stiga Combi 753 SE 4-in-1 Self-Propelled Petrol Lawnmower with Electric Start,would_retrack
gid://shopify/Product/8321697808551,gid://shopify/ProductVariant/45927476625575,STIG-2L0536848/ST2,Stiga Combi 753 S 4-in-1 Self-Propelled Petrol Lawnmower,would_retrack
gid://shopify/Product/8321692631207,gid://shopify/ProductVariant/45927458996391,274014004/ST1,Stiga E440 48v/4Ah ePower Lithium-Ion Battery 274014004/ST1,would_retrack
gid://shopify/Product/8321665630375,gid://shopify/ProductVariant/45927334903975,MF-271021100/21,Mountfield C 215 DU 20v Freedom 100 Dual Standard Charger,would_retrack
gid://shopify/Product/8321665269927,gid://shopify/ProductVariant/45927332708519,STIG-287321002/ST1,Stiga BC 545 B Petrol Brushcutter,would_retrack
gid://shopify/Product/8321664975015,gid://shopify/ProductVariant/45927331954855,STIG-287221002/ST1,Stiga BC 535 B Petrol Brushcutter,would_retrack
gid://shopify/Product/8321664843943,gid://shopify/ProductVariant/45927331725479,STIG-287120102/ST2,Stiga BC 330 A Petrol Brushcutter,would_retrack
gid://shopify/Product/8321664680103,gid://shopify/ProductVariant/45927331496103,STIG-255175102/ST1,Stiga BL 980 R Backpack Blower,would_retrack
gid://shopify/Product/8321664647335,gid://shopify/ProductVariant/45927331365031,STIG-255127092/ST2,Stiga BL 530 Petrol Leaf-Blower,would_retrack
gid://shopify/Product/8321664450727,gid://shopify/ProductVariant/45927331102887,STIG-255127002/ST1,Stiga BL 530 V Petrol Blower-Vac,would_retrack
gid://shopify/Product/8321662681255,gid://shopify/ProductVariant/45927320748199,2L0536048/M21,Mountfield SP53 Self-Propelled 3-in-1 Petrol Lawnmower,would_retrack
gid://shopify/Product/8321654259879,gid://shopify/ProductVariant/45927280967847,SPEC-SP31101,Spectrum 102cm Towed Dethatching Rake | SP31101,would_retrack
gid://shopify/Product/8321654161575,gid://shopify/ProductVariant/45927278608551,SPEC-SP31508,Spectrum 57kg-Capacity Towed Broadcast Spreader | SP31508,would_retrack
gid://shopify/Product/8321653964967,gid://shopify/ProductVariant/45927277691047,SPEC-SP22134,Spectrum 295kg-Capacity Push / Tow Poly Tipping-Cart | SP22134,would_retrack
gid://shopify/Product/8321631256743,gid://shopify/ProductVariant/45927095566503,MF-271102203/MUK,Mountfield MTR 20 Li KIT 20v Cordless Grass-Trimmer (Inc. Battery & Charger),would_retrack
gid://shopify/Product/8321630109863,gid://shopify/ProductVariant/45927092584615,MF-271302203/MUK,Mountfield MHT 20 Li KIT 20v Cordless Hedgetrimmer (Inc. Battery & Charger),would_retrack
gid://shopify/Product/8321626603687,gid://shopify/ProductVariant/45927075414183,MF-274014004/ST1,Mountfield B440 48v/4Ah Freedom 500 Lithium-Ion Battery,would_retrack
gid://shopify/Product/8321625784487,gid://shopify/ProductVariant/45927072563367,MF-299489073/M22,Mountfield Empress 46 Li KIT 4-in-1 Self-Propelled Cordless Lawnmower (Inc. 2 x Batteries & Charger),would_retrack
gid://shopify/Product/8321624113319,gid://shopify/ProductVariant/45927064469671,SPEC-SP22139,Spectrum 181kg-Capacity Steel Tipping Trailer | SP22139,would_retrack
gid://shopify/Product/8321563066535,gid://shopify/ProductVariant/45926758580391,C-2T2630481/ST2,Stiga Estate 598 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/8321461518503,gid://shopify/ProductVariant/45926732136615,STIG-2T0610481/ST1,Stiga Tornado 398 Side-Discharge Lawn Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/8321328152743,gid://shopify/ProductVariant/45926368673959,2L0486038/M19,Mountfield SP46 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),would_retrack
gid://shopify/Product/8321171488935,gid://shopify/ProductVariant/45926144606375,STIG-EXT-SHAFT-226,Stiga Extension Pole for Split-Shaft Brushcutters | 232511610/16,would_retrack
gid://shopify/Product/8321169522855,gid://shopify/ProductVariant/45926142476455,STIG-SILEX-BRUSH,Stiga Silex Brush Attachment | 290950070/10,would_retrack
gid://shopify/Product/8321165525159,gid://shopify/ProductVariant/45926138314919,STIG-BRUSH-COLLECTOR,Stiga Silex Brush & Collector Attachment | 290950040/10,would_retrack
gid://shopify/Product/8321159069863,gid://shopify/ProductVariant/45926131433639,STIG-SILEX-ROTOV,Stiga Silex Rear-Mounted Rotovator Attachment | 290950020/10,would_retrack
gid://shopify/Product/8321156350119,gid://shopify/ProductVariant/45926128484519,STIG-SWS-800G,Stiga SWS 800 G Self-Propelled Sweeper,would_retrack
gid://shopify/Product/8321154416807,gid://shopify/ProductVariant/45926126321831,STIG-290802030/16,Stiga Front Blade for SWS 800 G Self-Propelled Sweeper | 290802030/16,would_retrack
