product_id,product_title,handle,existing_tags,contributing_skus,already_tagged,action,error
gid://shopify/Product/15664594747765,Mountfield 1330M Gear Drive 2-in-1 Lawn Tractor,mountfield-1330m-lawn-tractor,"Best Garden Tractor Deals, Best Lawn Tractor Deals, Best Rear Collect Garden Tractors, Garden Tractor Deals, Homepage Recommendations, Lawn Tractor Deals, Lawn Tractors | MowDirect Black Friday Garden Deals, Winter Sale",2T2010483/M25,no,applied,
gid://shopify/Product/15874276065653,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor,mountfield-t30m-lawn-tractor,"Best Garden Tractor Deals, Best Lawn Tractor Deals, Best Rear Collect Garden Tractors, Garden Tractor Deals, Homepage Recommendations, Lawn Tractor Deals, Lawn Tractors | MowDirect Black Friday Garden Deals, Winter Sale",2T2010483/M25,no,applied,
gid://shopify/Product/14873208357237,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,mountfield-827m-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive,"Beat the Spring Rush, Best Rear Collect Ride-On Mowers, Chipperfield, Lawn Tractors / Ride on Mowers, Machinery For Immediate Delivery, Machinery For Next Day Delivery, Meet our Gardening Super-Stars..., Mountfield, Mountfield Best-Selling Ride-Ons Mowers & Lawn Tractors, Mountfield Lawn Tractors - T30M, Mountfield Rear Engine Riders, Mountfield Ride On Mowers, Mountfield Ride-On Mowers & Lawn Tractors, Mountfield Tractors, Ride On Lawnmowers, Ride On Mowers, Ride On Mowers and Garden Tractors, Ride-on Mowers Best Sellers, T38M and T38MSD, Top 50 Gifts, Top Finance Deals, Top Ride-On Lawnmowers - Lowest Prices Online!, Winter Sale",MF-827M,no,applied,
gid://shopify/Product/15664535142773,Castel Garden PTX 210 HD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,castel-garden-ptx-210-hd-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive,"Garden Tractor Deals, Mountfield Garden Tractors, Mountfield Ride On Mowers, Mountfield Ride-On Mowers & Lawn Tractors",2T0980473/C22,no,applied,
gid://shopify/Product/8321028817063,Echo CS-621SX Petrol Chainsaw (50cm Guide Bar),echo-cs-621sx-60cc-petrol-chainsaw-with-50cm-guide-bar,"Chainsaws | MowDirect Black Friday Garden Deals, Echo Petrol Chainsaws, Petrol Chainsaw Deals, Winter Garden Care",ECH-CS-621SX,no,applied,
gid://shopify/Product/15208207450485,Honda HRX 476 QY Self-Propelled Rear Roller Petrol Lawn Mower,honda-hrx-476-qy-self-propelled-rear-roller-petrol-lawn-mower,,HRX476QY,no,applied,
gid://shopify/Product/15664478093685,Stiga Estate 7122 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,stiga-estate-7122-w-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive,"Best Garden Tractor Deals, Best Rear Collect Garden Tractors, Garden Tractor Deals, Stiga Garden Tractors, Stiga Lawn & Garden Tractors",2T1315481/ST1,no,applied,
gid://shopify/Product/15633348100469,Castel Garden XHT 240 4 Wheel-Drive Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,castel-garden-xht-240-4-wheel-drive-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive,Missing Product Type,XHT-240,no,applied,
gid://shopify/Product/15035588641141,Harry T92H Rear-Collect Lawn Tractor with Hydrostatic Transmission,harry-t92h-rear-collect-lawn-tractor-with-hydrostatic-transmission,,C-T92H,no,applied,
gid://shopify/Product/15209175023989,Honda HF 2417 HTE Premium Garden Tractor,honda-hf-2417-hme-premium-garden-tractor-1,,HF-2417-HTE,no,applied,
