product_sku,product_name,product_type,product_category,sell_price,qty_in_stock,ean_barcode,review_note
DM1E34FB.6.1,AIR FILTER DM26PB/PBV,4000 - Delivery charges - outward freight,20,11.4,20,,ADD — no Shopify match found
SBC4,BATTERY MAINTAINER CHARGER 12V 4A FULLY,4025 - MISC,24,33.29,16,,ADD — no Shopify match found
RS600,ROADSTARTÂ® 600A 12V LITHIUM-ION JUMP,4025 - MISC,24,62.46,12,,ADD — no Shopify match found
210/10,SEALEY PROTECTIVE GOOGLES,,24,8.29,200,,ADD — no Shopify match found
PDI,PRE DELIVERY INSPECTION,4025 - MISC,201,125,821,,NON-PRODUCT (service/return); LIKELY already on Shopify: 'Pre Delivery Inspection ( PDI) EMAK' [EMAK-PDI] ~83%
TG40PD-RET,SPECTRUM TG40PD RETURN,,27,178.95,15,,NON-PRODUCT (service/return)
HP-175,THE HANDY 500ML 2 STROKE SEMI-SYNTHETIC ENGINE OIL,,52,5.95,19,,LIKELY already on Shopify: '500ml 2-Stroke Semi-Synthetic Oil' [OIL-2STOKE500ML] ~79%
