order_id,created,order_state,line_state,category_code,shop_sku,product_title,quantity,unit_price,line_revenue,commission,effective_rate
1062460362-A,2026-04-15T14:23:16Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-5R-P,Spectrum PFC-5R-P Anti Spill Petrol Can - 5 Litre,3,53.85,53.85,7.75,14.39
1062480881-A,2026-04-15T23:48:42Z,RECEIVED,RECEIVED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1062489871-A,2026-04-16T09:51:52Z,RECEIVED,RECEIVED,PIM_13211,DCT38M-SDM,"Spectrum DCT38M-SD  38"" Side Discharge and Mulch Lawn Tractor with Manual Drive",1,1699.95,1699.95,163.2,9.60
1062518416-A,2026-04-16T19:30:54Z,RECEIVED,RECEIVED,PIM_13211,2T2010483/M25,Mountfield T30M Gear Drive two-in-one Lawn Tractor,1,1899.95,1899.95,182.4,9.60
1062521266-A,2026-04-16T20:47:54Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062557317-A,2026-04-17T17:29:01Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-10R-P,Spectrum PFC-10R-P Anti Spill Petrol Can - 10 Litre,1,22.45,22.45,3.23,14.39
1062557688-A,2026-04-17T17:38:48Z,RECEIVED,RECEIVED,PIM_12364,KT400-3 PRO,"Spectrum KT400-3 Pro 3-in-1 Petrol Lawn Scarifier, Aerator & Sweeper-Groomer",1,499.95,499.95,89.99,18.00
1062560030-A,2026-04-17T18:35:56Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062641271-A,2026-04-19T13:06:16Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-20R-P,Spectrum PFC-20R-P Anti Spill Petrol Can - 20 Litre,2,62.9,62.9,9.06,14.40
1062663864-A,2026-04-19T19:29:07Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062717197-A,2026-04-20T19:17:18Z,RECEIVED,RECEIVED,PIM_13211,C-T84H,Harry T84H Rear-Collect Lawn Tractor with Hydrostatic Drive,1,2095.0,2095.0,201.12,9.60
1062743445-A,2026-04-21T11:58:29Z,RECEIVED,RECEIVED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062750951-A,2026-04-21T14:13:06Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-5R-P,Spectrum PFC-5R-P Anti Spill Petrol Can - 5 Litre,1,17.95,17.95,2.58,14.37
1062790876-A,2026-04-22T12:56:30Z,RECEIVED,RECEIVED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1062811642-A,2026-04-22T18:18:00Z,RECEIVED,RECEIVED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062832922-A,2026-04-23T10:00:03Z,RECEIVED,RECEIVED,PIM_13209,S154554,Spectrum TG56SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,1,499.95,499.95,48.0,9.60
1062868949-A,2026-04-23T21:43:10Z,RECEIVED,RECEIVED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062872877-A,2026-04-24T06:31:51Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-20R-P,Spectrum PFC-20R-P Anti Spill Petrol Can - 20 Litre,1,31.45,31.45,4.52,14.37
1062882105-A,2026-04-24T09:54:50Z,RECEIVED,RECEIVED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1062901713-A,2026-04-24T14:51:38Z,RECEIVED,RECEIVED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062903221-A,2026-04-24T15:18:12Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062918642-A,2026-04-24T20:25:31Z,SHIPPED,SHIPPED,PIM_13211,2T2010483/M25,Mountfield T30M Gear Drive two-in-one Lawn Tractor,1,1899.95,1899.95,182.4,9.60
1062926772-A,2026-04-25T07:37:29Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-10R-P,Spectrum PFC-10R-P Anti Spill Petrol Can - 10 Litre,1,22.45,22.45,3.23,14.39
1062965976-A,2026-04-25T16:49:24Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1062968728-A,2026-04-25T17:41:03Z,RECEIVED,RECEIVED,PIM_13302,C-PFC-20R-P,Spectrum PFC-20R-P Anti Spill Petrol Can - 20 Litre,2,62.9,62.9,9.06,14.40
1062984146-A,2026-04-26T08:21:10Z,RECEIVED,RECEIVED,PIM_12703,C-RAC139PTIL,Racing 139PTIL63 Petrol Front-Tine Tiller,1,218.95,218.95,21.02,9.60
1062994782-A,2026-04-26T10:55:46Z,SHIPPED,SHIPPED,PIM_13211,2T2010483/M25,Mountfield T30M Gear Drive two-in-one Lawn Tractor,1,1899.95,1899.95,182.4,9.60
1062999803-A,2026-04-26T11:57:04Z,RECEIVED,RECEIVED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063025448-A,2026-04-26T18:05:46Z,RECEIVED,RECEIVED,PIM_12364,KT400-3 PRO,"Spectrum KT400-3 Pro 3-in-1 Petrol Lawn Scarifier, Aerator & Sweeper-Groomer",1,499.95,499.95,89.99,18.00
1063034523-A,2026-04-26T20:49:44Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063073232-A,2026-04-27T15:21:04Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063078208-A,2026-04-27T16:38:47Z,RECEIVED,RECEIVED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063087993-A,2026-04-27T19:27:15Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063089218-A,2026-04-27T19:50:23Z,RECEIVED,RECEIVED,PIM_12703,C-RAC139PTIL,Racing 139PTIL63 Petrol Front-Tine Tiller,1,218.95,218.95,21.02,9.60
1063099938-A,2026-04-28T07:17:04Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063119476-A,2026-04-28T14:34:14Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063163831-A,2026-04-29T11:48:56Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063174111-A,2026-04-29T14:35:14Z,SHIPPED,SHIPPED,PIM_13302,C-PFC-SPOUT,Spectrum Metal Jerry Can Spout - PFC-SPOUT,1,6.95,6.95,1.0,14.39
1063210852-B,2026-04-30T09:56:15Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063212970-A,2026-04-30T10:27:18Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063262251-A,2026-05-01T09:20:59Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063268806-A,2026-05-01T11:03:18Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063269238-A,2026-05-01T11:10:43Z,RECEIVED,RECEIVED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063287094-A,2026-05-01T16:04:55Z,SHIPPED,SHIPPED,PIM_12683,S154545,Spectrum DM26C Curved-Shaft Petrol Grass-Trimmer,1,89.0,89.0,8.54,9.60
1063309565-A,2026-05-02T08:29:38Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063314849-A,2026-05-02T09:55:55Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063334210-A,2026-05-02T14:14:02Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063375735-A,2026-05-03T11:40:04Z,SHIPPED,SHIPPED,PIM_13211,DCT38H,"Spectrum DCT38H 38"" Lawn Tractor with Hydrostatic Drive",1,1999.95,1999.95,192.0,9.60
1063403091-A,2026-05-03T19:21:54Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063428791-A,2026-05-04T11:08:42Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063464635-A,2026-05-04T19:18:01Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063474250-A,2026-05-04T22:28:55Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063478941-A,2026-05-05T07:55:37Z,SHIPPED,SHIPPED,PIM_13302,C-PFC-SPOUT,Spectrum Metal Jerry Can Spout - PFC-SPOUT,1,6.95,6.95,1.0,14.39
1063520059-A,2026-05-05T23:01:17Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063541345-A,2026-05-06T13:46:46Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063571306-A,2026-05-07T09:07:21Z,SHIPPED,SHIPPED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
