suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Stiga,MF-STRIPINGKIT,Mountfield/Stiga Lawn-Striping Kit for 4WD Rear-Collect Tractors | 2I2120000/18,Stiga,302.00,,mountfield-stiga-lawn-striping-kit-for-4wd-rear-collect-tractors
no,,,Stiga,STIG-299900073/0,Mountfield/Stiga Mulching-Kit with Blades - for 102cm Tractors | 299900073/0,Stiga,125.00,,mountfield-stiga-mulching-kit-for-102cm-tractors-299900073-0
no,,,Stiga,STIG-2I0300000/17,Mountfield/Stiga Mulching-Kit with Blades - for 121cm Side-Discharge Tractors | 2I0300000/17,Stiga,105.00,,stiga-mulching-kit-for-121cm-side-discharge-tractors-2i0300000-17
no,,,Stiga,STIG-DEFLECTOR-99900310-0,Mountfield/Stiga Rear Deflector - for 84cm & 98cm Tractors | 299900310/0,Stiga,140.00,,mountfield-stiga-deflector-for-84cm-and-98cm-tractors-299900310-0
no,,,Stiga,STIG-DEFLECTOR-99900051/0,Mountfield/Stiga Rear Deflector - for 92cm & 102cm Tractors | 299900051/0,Stiga,162.00,,mountfield-stiga-rear-deflector-for-92cm-and-102cm-tractors-299900051-0
no,,,Stiga,ACC-DEFL-84CM,Rear Deflector Flor 84cm Mountfield/Stiga Tractors,MowDirect,120.00,,rear-deflector-flor-84cm-mountfield-stiga-tractors
no,,,Stiga,STIG-13-3913-11,Stiga 100cm Rear Rake (Lift-Bracket Required) | 13-3913-11,Stiga,251.00,,stiga-100cm-rear-mounted-dethatching-and-gravel-combing-rake-lift-bracket-required-13-3913-11
no,,,Stiga,STIG-PARK-ROTARY-BRUSH,Stiga 100cm Rotary Brush Attachment c/w Dust Cover for Park Front-Cut Ride-On Mowers | 13-0977-11 c/w 13-1936-62,Stiga,2018.00,,stiga-park-100cm-rotary-brush-attachment-with-dust-cover-13-0977-11-with-13-1936-62
no,,,Stiga,STIG-13-0977-11,Stiga 100cm Rotary Brush Attachment for Park Front-Cut Ride-On Mowers | 13-0977-11,Stiga,201.00,,stiga-100cm-rotary-brush-attachment-for-park-front-cut-ride-on-mowers-13-0977-11
no,,,Stiga,STIG-13-3906-11,Stiga 100kg-Capacity Professional Galvanised-Steel Cart | 13-3906-11,Stiga,706.00,,stiga-100kg-capacity-professional-galvanised-steel-cart-for-park-front-cut-ride-on-mowers-and-mid-deck-tractor-mowers-13-3906-11
no,,,Stiga,STIG-13-3922-61,Stiga 107cm Snow-Blade Attachment for Park Front-Cut Ride-On Mowers | 13-3922-61,Stiga,504.00,,stiga-107cm-snow-blade-attachment-for-park-front-cut-ride-on-mowers-13-3922-61
no,,,Stiga,STIG-2A6107010/S17,Stiga 107cm Towed Grass & Leaf Collector for Stiga Park Front-Cut Ride-On Mowers | 2A6107010/S17,Stiga,605.00,,stiga-107cm-towed-grass-and-leaf-collector-for-stiga-park-front-cut-ride-on-mowers-2a6107010-s17
no,,,Stiga,STIG-13-3926-11,Stiga 107cm Towed Leaf-Sweeper/Collector for Stiga Park Front-Cut Ride-On Mowers | 13-3926-11,Stiga,695.00,,stiga-107cm-towed-leaf-sweeper-collector-for-stiga-park-front-cut-ride-on-mowers-13-3926-11
no,,,Stiga,STIG-13-3917-61,Stiga 120cm Snow-Blade Attachment for Park Front-Cut Ride-On Mowers | 13-3917-61,Stiga,655.00,,stiga-120cm-snow-blade-attachment-for-park-front-cut-ride-on-mowers-13-3917-61
no,,,Stiga,STIG-13-3914-11,Stiga 130cm Rear Rake (Lift-Bracket Required) | 13-3914-11,Stiga,261.00,,stiga-130cm-rear-mounted-dethatching-and-gravel-combing-rake-lift-bracket-required-13-3914-11
no,,,Stiga,STIG-155H-TITAN-DOD,Stiga 155H Titan DOD Cutter-Deck (13-7825-24),Stiga,3883.95,,stiga-155h-titan-dod-cutter-deck-13-7825-24
no,,,Stiga,STIG-1911-9291-01,Stiga 15m Power Cable for Mains-Electric Scarifiers/Aerators | 1911-9291-01,Stiga,39.95,,stiga-15m-power-cable-for-mains-electric-scarifiers-aerators-1911-9291-01
no,,,Stiga,STIG-SNOW-CHAINS-16X6,"Stiga 16"" x 6"" Snow Chains for Park Front-Cut Ride-On Mowers | 13-0940-61",Stiga,231.00,,stiga-406mm-x-152mm-snow-chains-for-park-front-cut-ride-on-mowers-13-0940-61
no,,,Stiga,STIG-13-0936-61,"Stiga 16"" x 7.5"" Snow Chains for Park Front-Cut Ride-On Mowers | 13-0936-61",Stiga,231.00,,stiga-406mm-x-191mm-snow-chains-for-park-front-cut-ride-on-mowers-13-0936-61
no,,,Stiga,STIG-13-0937-61,"Stiga 17"" x 8"" Snow Chains for Park Pro Front-Cut Ride-On Mowers | 13-0937-61",Stiga,231.00,,stiga-430mm-x-203mm-snow-chains-for-park-pro-front-cut-ride-on-mowers-13-0937-61
no,,,Stiga,STIG-290409218/S15,Stiga 18-Litre Grass Collector for Rear-Deflect Manual Cylinder Mowers | 290409218/S15,Stiga,18.00,,stiga-18-litre-grass-collector-for-rear-deflect-manual-cylinder-mowers-290409218-s15
no,,,Stiga,STIG-13-0921-62,Stiga 2 x 13.5kg Axle Frame Weights for Select Park Front-Cut Ride-On Mowers | 13-0921-62,Stiga,241.00,,stiga-2-x-13-5kg-fame-weights-for-select-park-front-cut-ride-on-mowers-13-0921-62
no,,,Stiga,STIG-13-0939-61,Stiga 2 x 17kg Axle Frame Weights for Select Park Front-Cut Ride-On Mowers | 13-0939-61,Stiga,292.00,,stiga-2-x-17kg-axle-frame-weights-for-select-park-front-cut-ride-on-mowers-13-0939-61
no,,,Stiga,STIG-290409618/S15,Stiga 20-Litre Grass Collector for Front-Deflect Manual Cylinder-Mowers | 290409618/S15,Stiga,31.95,,stiga-20-litre-grass-collector-for-front-deflect-manual-cylinder-mowers-290409618-s15
no,,,Stiga,STIG-1911-9293-01,Stiga 24v Battery Charger | 1911-9293-01,Stiga,53.95,,stiga-24v-battery-charger
no,,,Stiga,STIG-13-0955-11,Stiga 38kg-Capacity Towed Broadcast Spreader | 13-0955-11,Stiga,251.00,,stiga-38kg-capacity-towed-broadcast-spreader-for-park-front-cut-ride-on-mowers-and-mid-deck-tractor-mowers-13-0955-11
no,,,Stiga,STIG-299900260/0,Stiga 56cm Towed Poly Ballast Roller | 299900260/0,Stiga,423.00,,stiga-56cm-towed-poly-ballast-roller-299900260-0
no,,,Stiga,STIG-1188048490,Stiga 6m Extension Mains-Cable | 118804849/0,Stiga,22.95,,stiga-6m-extension-mains-cable-uk-plug-118804849-0
no,,,Stiga,STIG-13-0952-11,Stiga 75kg-Capacity Poly Combi-Cart  | 13-0952-11,Stiga,403.00,,stiga-75kg-capacity-poly-combi-cart-for-stiga-park-front-cut-ride-on-mowers-and-mid-deck-tractor-mowers-13-0952-11
no,,,Stiga,STIG-80V-HARNESS,Stiga 80v Battery Harness,Stiga,99.00,,stiga-battery-harness
no,,,Stiga,STIG-13-3918-61,Stiga 85cm Rotary Brush Attachment for Park Front-Cut Ride-On Mowers | 13-3918-61,Stiga,1513.00,,stiga-front-mounted-sweeper-for-park-front-cut-ride-on-mowers-13-3918-61
no,,,Stiga,STIG-13-3910-11,Stiga 90cm Front-Mounted Sweeper (with Collector) for Park Front-Cut Ride-On Mowers | 13-3910-11,Stiga,3331.00,,stiga-front-mounted-sweeper-with-collector-for-stiga-park-front-cut-ride-on-mowers
no,,,Stiga,STIG-2I0800100/18,Stiga 90cm Tow-Behind Poly Ballast Roller | 2I0800100/18,Stiga,473.00,,stiga-tow-behind-poly-ballast-roller-for-ride-ons-and-garden-tractors-2i0800100-18
no,,,Stiga,STIG-298302068/UKS,Stiga Aero 132e KIT 20v Cordless Hover Mower (Inc. 2 x Batteries & Charger),Stiga,166.00,,stiga-aero-132e-kit-750w-30cm-cordless-battery-powered-hover-lawnmower-including-2-x-batteries-and-twin-port-charger
no,,,Stiga,278012000/21,Stiga B420 48v/2Ah ePower Lithium-Ion Battery | 278012000/21,Stiga,144.95,,stiga-b420-48v-2ah-epower-lithium-ion-battery
no,,,Stiga,STIG-277200008/ST2,Stiga BC 700e 48v Cordless Brushcutter with ‘Loop’ Handle (Tool Only),Stiga,249.00,,stiga-bc-700e-48v-cordless-battery-brushcutter-with-loop-handle-tool-only
no,,,Stiga,STIG-277210008/ST2,Stiga BC 700e B 48v Cordless Brushcutter with ‘Cowhorn’ Handle (Tool Only),Stiga,289.00,,stiga-bc-700e-b-48v-cordless-battery-brushcutter-with-cowhorn-handle-tool-only
no,,,Stiga,STIG-279210008/ST2,Stiga BC 900e B 48v Cordless Brushcutter with ‘Cowhorn’ Handle (Tool Only),Stiga,385.00,450.00,stiga-bc-900e-b-48v-cordless-battery-brushcutter-with-cowhorn-handle-tool-only
no,,,Stiga,STIG-BIOSILENT2500,Stiga Bio Silent SH2500 Low-Noise Electric Garden-Shredder,Stiga,249.00,289.00,stiga-bio-silent-sh2500-low-noise-electric-garden-shredder
no,,,Stiga,STIG-278500008/ST3,Stiga BL 500e 48v Cordless Leaf-Blower (Tool Only),Stiga,119.00,136.00,stiga-bl-500e-48v-cordless-leaf-blower-tool-only
no,,,Stiga,STIG-277500008/ST2,Stiga BL 700e 48v Cordless Leaf-Blower (Tool Only),Stiga,179.00,210.00,stiga-bl-700e-48v-cordless-battery-leaf-blower-tool-only
no,,,Stiga,STIG-279500008/ST2,Stiga BL 900e 48v Cordless Leaf-Blower (Tool Only),Stiga,285.00,346.00,stiga-bl-900e-48v-cordless-leaf-blower-tool-only
no,,,Stiga,STIG-278031200/22-1,Stiga C 415 DU 48v/1.5A ePower Dual Standard Charger | 278021200/21,Stiga,135.00,,stiga-c-415-du-48v-1-5a-epower-dual-standard-charger
no,,,Stiga,STIG-278031200/22,Stiga C 430 DFU 48v/3.0A ePower Dual Fast Charger | 278031200/22,Stiga,109.00,135.00,stiga-c-430-dfu-48v-3-0a-epower-dual-fast-charger
no,,,Stiga,STIG-278031000/21,Stiga C 430 FU 48v/3.0A ePower Single Fast Charger | 278031000/21,Stiga,45.00,50.00,stiga-c-430-fu-48v-3-0a-epower-single-fast-charger
no,,,Stiga,STIG-2L0432048/ST2,Stiga Collector 543 S Self-Propelled Petrol Lawnmower,Stiga,339.00,339.00,stiga-collector-543-s-123cc-41cm-self-propelled-petrol-lawnmower
no,,,Stiga,STIG-2L0482048/ST2,Stiga Collector 548 S Self-Propelled Petrol Lawnmower,Stiga,379.00,379.00,stiga-collector-548-s-123cc-46cm-self-propelled-petrol-lawnmower
no,,,Stiga,STIG-2L0486008/UKS,Stiga Collector 548e S KIT 48v Self-Propelled Cordless Lawnmower (Inc. 2 x Batteries & Charger),Stiga,729.00,729.00,stiga-collector-548e-s-kit-48v-1500w-48cm-self-propelled-cordless-lawnmower-including-2-x-batteries-and-charger
no,,,Stiga,STIG-294340068/ST1,Stiga Combi 336c 3-in-1 Hand-Propelled Electric Lawnmower,Stiga,208.00,208.00,stiga-combi-336c-1400w-34cm-3-in-1-hand-propelled-mains-electric-lawnmower
no,,,Stiga,Stiga Combi 336e Cordless Mower,Stiga Combi 336e 48v 3-in-1 Hand-Propelled Cordless Lawnmower (Machine Only),Stiga,149.95,,stiga-combi-336e-48v-34cm-3-in-1-hand-propelled-cordless-lawnmower-machine-only
no,,,Stiga,STIG-294380068/ST2,Stiga Combi 340 C 3-in-1 Hand-Propelled Electric Lawnmower,Stiga,239.00,,stiga-combi-340-c-1600w-38cm-3-in-1-hand-propelled-electric-lawnmower
no,,,Stiga,STIG-294557848/ST2,Stiga Combi 955 V 4-in-1 Variable-Speed Petrol Lawnmower,Stiga,685.00,,stiga-combi-955-v-196cc-53cm-4-in-1-variable-speed-petrol-lawnmower
no,,,Stiga,STIG-294557548/ST1,Stiga Combi 955 VE 4-in-1 Variable-Speed Petrol Lawnmower with Electric Start,Stiga,735.00,,stiga-combi-955-ve-196cc-53cm-4-in-1-variable-speed-petrol-lawnmower-with-electric-start
no,,,Stiga,STIG-240381602/ST1,Stiga CS 540 Petrol Chainsaw (40cm Guide Bar),Stiga,266.00,,stiga-cs-540-39cc-entry-level-petrol-chainsaw-with-40cm-guide-bar
no,,,Stiga,STIG-277430008/ST1,Stiga CS 700e 48v Cordless Chainsaw – 35cm Guide Bar (Tool Only),Stiga,279.00,,stiga-cs-700e-48v-cordless-battery-chainsaw-with-35cm-guide-bar-tool-only
no,,,Stiga,STIG-219000130/18,Stiga Double Side Plough for SRC 685 RG Front-Tine Tiller | 219000130/18,Stiga,49.00,,stiga-double-side-plough-for-src-685-rg-front-tine-tiller-219000130-18
no,,,Stiga,STIG-13-3916-61,Stiga Dust Cover for 85cm Front-Mounted Sweeper | 13-3916-61,Stiga,191.00,,stiga-dust-cover-for-85cm-front-mounted-sweeper-13-3916-61
no,,,Stiga,STIG-S300,Stiga e-Ride S300 Battery-Powered Side-Discharge Lawn Tractor with Stepless Electronic Drive,Stiga,4462.00,,stiga-e-ride-s300-battery-powered-side-discharge-lawn-tractor-with-stepless-electronic-drive
no,,,Stiga,STIG-277014008/ST1,Stiga E440 48v/4Ah ePower Lithium-Ion Battery | 277014008/ST1,Stiga,159.00,142.00,stiga-e440-48v-4ah-lithium-ion-battery
no,,,Stiga,STIG-274015004/ST1,Stiga E450 48v/5Ah ePower Lithium-Ion Battery | 274015004/ST1,Stiga,199.00,,stiga-b450-48v-5ah-epower-lithium-ion-battery-278015000-21
no,,,Stiga,STIG-277015008/ST1,Stiga E450 48v/5Ah ePower Lithium-Ion Battery | 277015008/ST1,Stiga,189.00,179.00,stiga-e450-48v-5ah-epower-lithium-ion-battery
no,,,Stiga,STIG-277017008/ST1,Stiga E475 48v/7.5Ah ePower Lithium-Ion Battery | 277017008/ST1,Stiga,269.00,,stiga-e475-48v-7-5ah-epower-lithium-ion-battery-277017008-st1
no,,,Stiga,STIG-13-3919-11,Stiga Electric Rear-Tool Lift Bracket | 13-3919-11,Stiga,1281.00,,stiga-electric-rear-tool-lift-bracket-13-3919-11
no,,,Stiga,2T1315481/ST1,Stiga Estate 7122 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Stiga,4299.00,4999.00,stiga-estate-7122-w-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
no,,,Stiga,STIG-2T0780481/ST1,Stiga Estate 792 Rear-Collect Lawn Tractor with Hydrostatic Drive,Stiga,3299.00,3599.00,stiga-estate-792-lawn-tractor
no,,,Stiga,STIG-2T0785481/ST1,Stiga Estate 792 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Stiga,3299.00,3829.00,stiga-estate-792-w-586cc-92cm-twin-cylinder-rear-collect-garden-tractor-with-hydrostatic-drive
no,,,Stiga,STIG-2T0940681/ST1,Stiga Estate 9102 W Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Stiga,4399.00,5099.00,stiga-estate-9102-w-688cc-102cm-twin-cylinder-rear-collect-garden-tractor-with-hydrostatic-drive
no,,,Stiga,STIG-2T0985481/ST1,Stiga Estate 9102 WX 4WD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Stiga,6999.00,8199.00,stiga-estate-9102-wx-688cc-102cm-twin-cylinder-four-wheel-drive-rear-collect-garden-tractor-with-hydrostatic-transmission
no,,,Stiga,STIG-278131808/St1,Stiga Fast Charger | Fits E-Ride Models,Stiga,505.00,,stiga-fast-charger-fits-cordless-tractors
no,,,Stiga,STIG-13-3902-11,Stiga Flail-Mower Attachment (with Electric Height-Adjustment) for Park Front-Cut Ride-On Mowers | 13-3902-11,Stiga,2300.00,,stiga-flail-mower-attachment-for-park-front-cut-ride-on-mowers-electric-height-adjustment
no,,,Stiga,STIG-PARK-FLAIL-MOWER-AXLE,Stiga Flail-Mower Axle for Park Lawn-Rake Attachment | 13-1985-11,Stiga,499.00,,stiga-park-flail-mower-axle-13-1985-11
no,,,Stiga,STIG-PARK-PRO-2-STAGE-SNOW-BLOWER,Stiga Front-Mount 2-Stage Snow Blower for Park Pro Front-Cut Ride-On Mowers | 13-0922-12,Stiga,2321.00,,stiga-front-mount-2-stage-snow-blower-for-park-pro-front-cut-ride-on-mowers-13-0922-12
no,,,Stiga,STIG-PARK-SSSB-13-0974-11,Stiga Front-Mount Single-Stage Snow Blower for Park Ride-On Mowers | 13-0974-11,Stiga,2018.00,,stiga-front-mounted-single-stage-snow-blower-attachment-for-park-ride-on-mowers-13-0974-11
no,,,Stiga,STIG-278100008/ST3,Stiga GT 500e 48v Cordless Grass-Trimmer (Tool Only),Stiga,159.00,,stiga-gt-500e-48v-cordless-battery-grass-trimmer-tool-only
no,,,Stiga,STIG-2F7062505/ST1,Stiga Gyro 500e ‘Drive-by-Wire’ Electric Battery-Powered Axial Ride-On Lawnmower,Stiga,5999.00,7029.00,stiga-gyro-500e-98cm-drive-by-wire-electric-battery-powered-axial-ride-on-lawnmower-with-zero-turn-and-joystick-control
no,,,Stiga,STIG-2F7063605/ST1,Stiga Gyro 700e ‘Drive-by-Wire’ Electric Battery-Powered Axial Ride-On Lawnmower,Stiga,6999.00,8129.00,stiga-gyro-700e-108cm-drive-by-wire-electric-battery-powered-axial-ride-on-lawnmower-with-zero-turn-and-joystick-control
no,,,Stiga,STIG-219000120/18,Stiga Half Side Plough for SRC 685 RG Front-Tine Tiller | 219000120/18,Stiga,159.95,,stiga-half-side-plough-for-src-685-rg-front-tine-tiller-219000120-18
no,,,Stiga,STIG-278300008/ST3,Stiga HT 500e 48v Cordless Hedgetrimmer (Tool Only),Stiga,159.00,,stiga-ht-500e-48v-cordless-battery-hedgetrimmer-tool-only
no,,,Stiga,STIG-277300008/ST2,Stiga HT 700e 48v Cordless Hedgetrimmer (Tool Only),Stiga,215.00,251.00,stiga-ht-700e-48v-cordless-battery-hedgetrimmer-tool-only
no,,,Stiga,STIG-279350008/ST2,Stiga HT 900e 48v Cordless Hedgetrimmer (Tool Only),Stiga,329.00,405.00,stiga-ht-900e-48v-cordless-battery-hedgetrimmer-with-65cm-blades-tool-only
no,,,Stiga,STIG-219000140/18,Stiga Iron Wheels Kit for SRC 685 RG Front-Tine Tiller | 219000140/18,Stiga,99.00,,stiga-iron-wheels-kit-for-src-685-rg-front-tine-tiller-219000140-18
no,,,Stiga,STIG-13-3911-61,Stiga Lawn-Edger Attachment - for Park Front-Cut Ride-On Mowers | 13-3911-61,Stiga,403.00,,stiga-lawn-edger-attachment-for-park-front-cut-mowers-13-3911-61
no,,,Stiga,STIG-LAWN-RAKE,Stiga Lawn-Rake Attachment (with Electric Height-Adjustment) for Park Front-Cut Ride-On Mowers | 13-3901-11,Stiga,2300.00,,stiga-lawn-rake-attachment-with-electric-height-adjustment-for-park-front-cut-ride-on-mowers-13-3901-11
no,,,Stiga,STIG-13-3909-11,Stiga Manual Rear-Tool Lift Bracket | 13-3909-11,Stiga,483.00,,stiga-manual-rear-tool-lift-bracket-13-3909-11
no,,,Stiga,STIG-278720008/ST3,Stiga MT 500e 48v Cordless Multi-Tool (Tool Only),Stiga,246.00,,stiga-mt-500e-48v-two-in-one-cordless-battery-multi-tool-excluding-battery-and-charger
no,,,Stiga,STIG-299901077/0,Stiga Mulching-Kit with Blades - for 122cm Rear-Collect Tractors | 299901077/0,Stiga,125.00,,stiga-mulching-plug-and-mulching-blades-kit-for-122cm-tractors-299901077-0
no,,,Stiga,STIG-298471848/ST2,Stiga Multiclip 547 D Hand-Propelled Petrol Mulching Lawnmower with Side-Discharge,Stiga,379.00,,stiga-multiclip-547-d-123cc-45cm-hand-propelled-petrol-mulching-lawnmower-with-side-discharge
no,,,Stiga,STIG-298471048/ST2,Stiga Multiclip 547 Hand-Propelled Petrol Mulching Lawnmower,Stiga,359.00,,stiga-multiclip-547-123cc-45cm-hand-propelled-petrol-mulching-lawnmower
no,,,Stiga,STIG-291501048/ST2,Stiga Multiclip 550 Hand-Propelled Petrol Mulching Lawnmower,Stiga,410.95,,stiga-multiclip-550-139cc-48cm-hand-propelled-petrol-mulching-lawnmower
no,,,Stiga,STIG-291503038/ST1,Stiga Multiclip 950 V Self-Propelled Petrol Mulching Lawnmower (with Honda Engine),Stiga,1487.95,,stiga-multiclip-950-v-167cc-48cm-self-propelled-petrol-mulching-lawnmower-with-honda-engine
no,,,Stiga,STIG-2F5820421/ST2,Stiga Park 300 Front-Cut Ride-On Lawnmower (Excluding Deck),Stiga,2699.00,2899.00,stiga-park-300-432cc-single-cylinder-front-cut-ride-on-lawnmower-excluding-deck
no,,,Stiga,STIG-2F5820241/S16,Stiga Park 300 M Front-Cut Ride-On Lawnmower (Excluding Deck),Stiga,2389.00,2729.00,stiga-park-300-m-414cc-single-cylinder-front-cut-ride-on-lawnmower-excluding-deck
no,,,Stiga,Park700WX_110Combi,Stiga Park 700 WX 4WD V-Twin Front-Cut Ride-On Lawnmower Including Combi Pro 110 QF Deck,Stiga,7899.00,9068.00,stiga-park-700-wx-4wd-v-twin-front-cut-ride-on-lawnmower-including-combi-pro-110-qf-deck
no,,,Stiga,STIG-2F6230625/ST2,Stiga Park 900 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck),Stiga,6699.00,7699.00,stiga-park-900-wx-570cc-four-wheel-drive-twin-cylinder-front-cut-ride-on-lawnmower
no,,,Stiga,PARK-900-WX,Stiga Park 900 WX 4WD V-Twin Front-Cut Ride-On Lawnmower Including Combi Pro 125 QF Deck,Stiga,16678.00,12499.00,stiga-park-900-wx-4wd-v-twin-front-cut-ride-on-lawnmower-including-combi-125-qf-deck
no,,,Stiga,STIG-2D5808511/ST2,Stiga Park Combi 85 M Q QuickFlip Cutter-Deck | 2D5808511/ST2,Stiga,610.00,699.00,stiga-combi-85-m-q-quick-flip-cutter-deck
no,,,Stiga,STIG-2D5809521/ST2,Stiga Park Combi 95 Q QuickFlip Cutter Deck | 2D5809521/ST2,Stiga,860.00,989.00,stiga-park-combi-95-q-cutter-deck
no,,,Stiga,STIG-PARK-LAWN-RAKE-AXLE,Stiga Park Lawn-Rake Axle for Park Flail-Mower Attachment | 13-1986-11,Stiga,453.00,,stiga-park-lawn-rake-axle-for-park-flail-mower-attachment-13-1986-11
no,,,Stiga,STIG-277710038/ST2,Stiga PH 700e 48v Cordless Long-Reach Hedgetrimmer (Tool Only),Stiga,239.00,,stiga-ph-700e-48v-cordless-long-reach-battery-hedgetrimmer-with-50cm-blades-tool-only
no,,,Stiga,STIG-278420008/ST3,Stiga PR 700e 48v Cordless Top-Handle Arborist’s Chainsaw - 30cm Guide Bar (Tool Only),Stiga,249.00,,stiga-pr-700e-48v-cordless-top-handle-arborist-chainsaw-with-30cm-guide-bar-tool-only
no,,,Stiga,STIG-2A0000000/S16,Stiga Protective Cover for Park Front-Cut Ride-On Mowers | 2A0000000/S16,Stiga,116.95,,stiga-protective-cover-for-park-front-cut-ride-on-mowers-2a0000000-s16
no,,,Stiga,STIG-277710048/ST2,Stiga PS 700e 48v Cordless Pole-Pruner (Tool Only),Stiga,239.00,,stiga-ps-700e-48v-cordless-pole-pruner-with-25cm-guide-bar-tool-only
no,,,Stiga,STIG-299900750/1,Stiga PTO Kit – for Stiga Tractor Mowers | 299900750/1,Stiga,1099.00,,stiga-pto-kit-for-stiga-tractor-mowers-299900750-1
no,,,Stiga,STIG-RAC-VILLAS,Stiga RAC Quick Connection - for Villa Models | 13-0994-61,Stiga,100.00,,stiga-rac-quick-connection-villa-models-13-0994-61
no,,,Stiga,STIG-299900150/0,Stiga Rear Counterweight for 92cm Rear-Collect Tractors | 299900150/0,Stiga,181.00,,stiga-rear-counterweight-for-92cm-rear-collect-tractors-299900150-0
no,,,Stiga,STIG-107CM-RUB-SCRAPER,Stiga Rubber Scraper Bar for 107cm Snow Blade | 13-3904-61,Stiga,130.00,,stiga-rubber-scraper-bar-for-107cm-snow-blade-13-3904-61
no,,,Stiga,STIG-RUBBER-SCRAPER-13-1958-62,Stiga Rubber Scraper Bar for 120cm Snow Blade | 13-1958-62,Stiga,140.00,,stiga-rubber-scraper-bar-for-120cm-snow-blade-13-1958-62
no,,,Stiga,STIG-278500008/ST2,Stiga SAB 500 AE 48v Cordless Leaf-Blower (Tool Only),Stiga,119.00,136.00,stiga-sab-500-ae-48v-cordless-leaf-blower-tool-only
no,,,Stiga,STIG-277500008/ST1,Stiga SAB 700 AE 48v Cordless Leaf-Blower (Tool Only),Stiga,235.00,260.00,stiga-sab-700-ae-48v-cordless-battery-leaf-blower-tool-only
no,,,Stiga,STIG-279500008/ST1,Stiga SAB 900 AE 48v Cordless Leaf-Blower (Tool Only),Stiga,359.00,,stiga-sab-900-ae-48v-cordless-battery-leaf-blower-tool-only
no,,,Stiga,STIG-278200008/ST2,Stiga SBC 500 AE 48v Cordless Brushcutter with ‘Loop’ Handle (Tool Only),Stiga,179.00,209.00,stiga-sbc-500-ae-48v-cordless-battery-brushcutter-with-loop-handle-tool-only
no,,,Stiga,STIG-277200008/ST1,Stiga SBC 700 AE 48v Cordless Brushcutter with 'Loop' Handle (Tool Only),Stiga,205.00,240.00,stiga-sbc-700-ae-48v-cordless-battery-brushcutter-with-loop-handle-tool-only
no,,,Stiga,STIG-277210008/ST1,Stiga SBC 700 D AE 48v Cordless Brushcutter with ‘Cowhorn’ Handle (Tool Only),Stiga,245.00,291.00,stiga-sbc-700-d-ae-48v-cordless-brushcutter-with-cowhorn-handle-tool-only
no,,,Stiga,STIG-279210008/ST1,Stiga SBC 900 D AE 48v Cordless Brushcutter with ‘Cowhorn’ Handle (Tool Only),Stiga,439.00,,stiga-sbc-900-d-ae-48v-cordless-battery-brushcutter-with-cowhorn-handle-tool-only
no,,,Stiga,STIG-279050008/ST1,Stiga SBH 900 E Backpack Battery Harness,Stiga,241.00,241.00,stiga-sbh-900-e-backpack-battery-harness-for-48v-epower-batteries
no,,,Stiga,STIG-SBT4080AE,Stiga SBT4080AE 80v/4.0Ah Battery | 1111-9309-01,Stiga,504.95,,stiga-sbt4080ae-80v-4ah-lithium-ion-battery
no,,,Stiga,STIG-290401208/S15,Stiga SCM 240 R Rear-Deflect Manual Cylinder Mower,Stiga,99.00,,stiga-scm-240-r-40cm-five-bladed-rear-deflect-manual-cylinder-mower
no,,,Stiga,STIG-290401608/S15,Stiga SCM 440 FS Front-Deflect Manual Cylinder-Mower,Stiga,167.95,,stiga-scm-440-fs-40cm-five-bladed-front-deflect-manual-cylinder-mower
no,,,Stiga,271302208/UKS,Stiga SHT 100 AE KIT 20v Cordless Hedgetrimmer (Inc. Battery & Charger),Stiga,109.00,115.00,stiga-sht-100-ae-20v-cordless-hedgetrimmer-with-55cm-blades-inc-battery-and-charger
no,,,Stiga,STIG-277300008/ST1,Stiga SHT 700 AE 48v Cordless Hedgetrimmer (Tool Only),Stiga,215.00,251.00,stiga-sht-700-ae-48v-cordless-battery-hedgetrimmer-tool-only
no,,,Stiga,STIG-279300008/ST1,Stiga SHT 900 AE 48v Cordless Hedgetrimmer (Tool Only),Stiga,359.00,,stiga-sht-900-ae-48v-cordless-battery-hedgetrimmer-with-82cm-blades-tool-only
no,,,Stiga,STIG-13-3915-11,Stiga Side-Brush for Front-Mounted Sweeper | 13-3915-11,Stiga,675.00,,stiga-side-brush-for-front-mounted-sweeper-13-3915-11
no,,,Stiga,STIG-SILEX-PLOUGH,Stiga Silex Ridging-Plough Attachment  | 290950060/10,Stiga,125.00,,stiga-silex-ridging-plough-attachment-for-stiga-silex-103-b-two-wheel-tractor
no,,,Stiga,STIG-SMT-226,Stiga SMT-226 Petrol Multi-Tool,Stiga,339.00,,stiga-smt-226-petrol-multi-tool
no,,,Stiga,STIG-240461802/S17,Stiga SP 466 Petrol Chainsaw (45cm Guide Bar),Stiga,480.95,,stiga-sp-466-47cc-petrol-chainsaw-with-45cm-guide-bar
