suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
yes,255127002/ST1,BL 530 V,Stiga,STIG-255127002/ST1-1,Stiga SBL 327 V Petrol Blower-Vac,Stiga,316.95,,stiga-sbl-327-v-28cc-handheld-petrol-blower-vacuum
yes,252422008/ST2,HT 725,Stiga,STIG-252422008/ST2,Stiga SHT 670 Professional Petrol Hedgetrimmer (60cm Blades),Stiga,279.00,279.00,stiga-sht-670-23cc-professional-petrol-hedgetrimmer-with-60cm-blades
yes,290950070/10,Front brush,Stiga,STIG-SILEX-BRUSH,Stiga Silex Brush Attachment | 290950070/10,Stiga,829.00,,stiga-silex-brush-attachment-for-silex-two-wheel-tractor
yes,232511810/15,PRUNER SAW ATTACHMENT,Stiga,STIG-PRUN-ATTACH-226,Stiga Tree-Pruner Attachment for Split-Shaft Brushcutters | 232511810/15,Stiga,79.00,79.00,stiga-tree-pruner-attachment-for-stiga-split-shaft-brushcutters-232511810-15
yes,294513998/UKS,Twinclip 950e V Kit,Stiga,STIG-294513998/UKS,Stiga Twinclip 950e V 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. Batteries & Charger),Stiga,1329.00,,stiga-twinclip-950e-v-48v-48cm-4-in-1-variable-speed-cordless-lawnmower-including-batteries-and-charger
no,,,Atco,AT-2L0432147/MC,Atco Classic 16S 3-in-1 Self-Propelled Petrol Lawnmower,Atco,309.00,,atco-classic-16s-123cc-41cm-3-in-1-self-propelled-petrol-lawnmower
no,,,Atco,AT-2L0486047/MC,Atco Classic 18S 3-in-1 Self-Propelled Petrol Lawnmower,Atco,339.00,,atco-classic-18s-139cc-46cm-3-in-1-self-propelled-petrol-lawnmower
no,,,Atco,AT-2L0536047/MC,Atco Classic 20S 3-in-1 Self-Propelled Petrol Lawnmower,Atco,399.00,,atco-classic-20s-166cc-51cm-3-in-1-self-propelled-petrol-lawnmower
no,,,Atco,R-RTN58,Atco GTL48HR Twin 4WD Ride On Lawn Tractor,Stihl,75.00,89.00,stihl-fse-31-electric-grass-trimmer-rtn518
no,,,Atco,AT-2T0785447/AT1,Atco GTX 36H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Atco,3299.00,3829.00,atco-gtx-36h-586cc-92cm-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
no,,,Mountfield,2T0980473/C22,Castel Garden PTX 210 HD Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield,3499.00,4699.00,castel-garden-ptx-210-hd-rear-collect-v-twin-garden-tractor-with-hydrostatic-drive
no,,,Mountfield,MF-827M,Mountfield 827M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,Mountfield,1399.95,1729.00,mountfield-827m-compact-rear-collect-side-discharge-ride-on-mower-with-manual-drive
no,,,Mountfield,MF-271012000/21,Mountfield B22 20v/2Ah Freedom 100 Battery,Mountfield,48.00,,mountfield-b22-20v-2ah-freedom-100-lithium-ion-battery
