"id","org_id","created_date","created_by_user_id","last_modified_date","last_modified_by_user_id","deleted_date","deleted_by_user_id","product_code","product_sku","product_name","product_description","cost_price","cost_price_average","cost_price_percentage","cost_chart_of_accounts","cost_currency","premium_declaration_cost_price","underwriter_cost_price","underwriter_cost_price_percentage","agent_cost_price","agent_cost_price_percentage","sell_currency","sell_price","sell_chart_of_accounts","status","product_type","product_category","pending_product_qty_in_stock","product_qty_in_stock","manage_stock","stock_value","resell_value","minimum_retail_price","maximum_retail_price","template_id","company_id","start_date","end_date","external_reference","sales_unit","recommended_retail_price","weight","service_levy_percentage","admin_fee","service_provision","plan_operating_charge","clip_fee_percentage","location","margin_calculation","supplier_id","part_number","bay","ean_barcode","product_image"
67455,6,,,,777,,,"RAC6196PRRS-RET","RAC6196PRRS-RET","RACING RAC6196PRRS RIDE ON - RETURN MODEL","RACING RAC6196PRRS RIDE ON - RETURN MODEL",661.08,661.08,,"4011","GBP",,,,,,"GBP",999.96,"4011","Active","4011 - RIDE ON LAWNMOWERS","199",0,0,0,0,0,,,,,,,"C-RAC6196PRRS-RET",,,,,,,,,"",,752066,,,,
67456,6,,,,777,,,"RAC6224PR","RAC6224PR","RACING 6224PR COMPACT RIDE-ON MOWER","RACING 6224PR COMPACT RIDE-ON MOWER",560,560,,"4011","GBP",,,,,,"GBP",1665.95,"4011","Active","4011 - RIDE ON LAWNMOWERS","2",0,0,1,0,0,,,,,,,"C-RAC6224PR",,,136,,,,,,"",,,,,,
67457,6,,,,777,,,"RAC6224PR-RET","RAC6224PR-RET","RACING 6224PR  RIDE-ON MOWER - RETURN MODEL","RACING 6224PR  RIDE-ON MOWER - RETURN MODEL",560,560,,"4011","GBP",,,,,,"GBP",999.96,"4011","Active","4011 - RIDE ON LAWNMOWERS","199",0,0,0,0,0,,,,,,,"C-RAC6224PR-RET",,,,,,,,,"",,752066,,,,
67458,6,,,,777,,,"RAC62PR","RAC62PR","RACING 62PR COMPACT RIDE-ON MOWER","RACING 62PR COMPACT RIDE-ON MOWER",535,535,,"4011","GBP",,,,,,"GBP",1299.95,"4011","Active","4011 - RIDE ON LAWNMOWERS","2",0,0,1,0,0,,,,,,,"C-RAC62PR",,,136,,,,,,"",,,,,,
67459,6,,,,777,,,"RAC62PR-RTN","RAC62PR-RTN","RACING RAC62PR RIDE ON MOWER - RTN MODEL","RACING RAC62PR RIDE ON MOWER - RTN MODEL",604.01,604.01,,"4011","GBP",,,,,,"GBP",916.63,"4011","Active","4011 - RIDE ON LAWNMOWERS","2",0,0,1,0,0,,,,,,,"C-RAC62PR-RTN",,,,,,,,,"",,752066,,,,
67460,6,,,,777,,,"RAC6625PR","RAC6625PR","RACING 6625PR RIDER","RACING 6625PR RIDER",755.32,755.32,,"4011","GBP",,,,,,"GBP",1500,"4011","Active","4011 - RIDE ON LAWNMOWERS","2",0,0,1,0,0,,,,,,,"C-RAC6625PR",,,130,,,,,,"",,752066,,,,
67461,6,,,,777,,,"RAC6625SDPR","RAC6625SDPR","RACING 6625SDPR SIDE DISCHARGE RIDER","RACING 6625SDPR SIDE DISCHARGE RIDER",728.82,728.82,,"4011","GBP",,,,,,"GBP",1450,"4011","Active","4011 - RIDE ON LAWNMOWERS","2",0,0,1,0,0,,,,,,,"C-RAC6625SDPR",,,130,,,,,,"",,752066,,,,
67462,6,,,,777,,,"RACST264T","RACST264T","RACING ST264T 4-STROKE PETROL LEAF BLOWER","RACING ST264T 4-STROKE PETROL LEAF BLOWER",60.99,60.99,,"4012","GBP",,,,,,"GBP",167.21,"4012","Active","4012 - HANDHELD PRODCUTS","2",0,0,1,0,0,,,,,,,"C-RACST264T",,,4.05,,,,,,"",,752066,,,,
67463,6,,,,777,,,"RB-SPOOL","RB-SPOOL","REDBACK SPOOL & LINE FOR E312D","REDBACK SPOOL & LINE FOR E312D",1,1,,"4098","GBP",,,,,,"GBP",21.96,"4098","Active","4098 - SPARE PARTS","20",0,8,1,8,175.68,,,,,,,"C-RB-SPOOL",,,,,,,,,"3C",,752053,,,,
67464,6,,,,777,,,"RF101","RF101","MECCANICA BENASSI RF101","MECCANICA BENASSI RF101",807.88,807.88,,"4010","GBP",,,,,,"GBP",1615,"4010","Active","4010 - WALK BEHIND LAWNMOWERS","71",0,0,1,0,0,,,,,,,"C-RF101",,,,,,,,,"",,752141,,,,
