"category";"shop_sku";"title";"brand";"gtin";"variant_group_code";"description";"colour_group";"colour_display_name";"colour_hex_code";"main_image";"image_1";"image_2";"image_3";"image_4";"image_5";"image_6";"image_7";"image_8";"image_9";"image_10";"image_11";"image_12";"image_13";"image_14";"image_15";"image_16";"image_17";"image_18";"image_19";"image_20";"feature_1";"feature_2";"feature_3";"feature_4";"feature_5";"feature_6";"feature_7";"feature_8";"feature_9";"feature_10";"main_product_image";"main_product_name";"disclaimer_options";"made_to_order";"width_4";"width_4_uom";"height_7";"height_7_uom";"material_11";"depth_23";"depth_23_uom";"weight_61";"weight_61_uom";"blade_length_130";"blade_length_130_uom";"pack_size_1175";"shipping_weight_10054";"shipping_weight_10054_uom";"economic_operator_name_10394";"economic_operator_address_10399";"economic_operator_email_10404";"manufacturer_name_10409";"manufacturer_address_10414";"manufacturer_email_10419";"product_model_number_10424";"product_safety_warnings_or_safety_guidance_10429"
"Garden/Garden Tools & Gardening Equipment/Rakes, Hoes & Cultivators";"TG480RTTR";"Spectrum TG480RTTR Rear-Tine Petrol Cultivator - 211cc, 48cm Working Width";"Spectrum";"5061122340196";"TG480RTTR";"The Spectrum TG480RTTR is the rear-tine cultivator to reach for when a front-tine machine has run out of muscle. With a 211cc 4-stroke OHV engine driving heavy-duty rotors through a belt-drive transmission, it's built to chew through compacted, stony or previously-uncultivated ground - the kind of conditions where lighter tillers bounce, stall or wear out. Rear-tine layout - the engine pushes, the tines dig Front-tine tillers rely on the operator's weight to bite into the soil. Rear-tine machines like the TG480RTTR drive forward under their own power and let the tines do the cutting independently - far less fatiguing over a long session, and the only sensible option for hard or virgin ground. The wheels do the walking; you do the steering. 211cc OHV engine built for serious workloads The air-cooled, overhead-valve engine is the heart of the machine. OHV construction runs cooler, burns fuel more cleanly and produces lower emissions than older side-valve designs - which translates to longer service intervals and a quieter, less smoky machine in use. The 3.6-litre fuel tank keeps you working for hours between refills. 48cm working width and 20cm digging depth A 48cm tilling width covers ground quickly without making the machine unwieldy in a domestic allotment or rear garden. The tines dig to a maximum depth of 20cm - deep enough to prepare a vegetable bed properly or break up a long-neglected lawn before re-seeding. One forward, one reverse - easy to manoeuvre out of trouble A two-speed gearbox with a dedicated reverse means you can back the machine out of a corner, a hedge line or a patch of unexpectedly soft ground without lifting 72kg of cultivator by hand. Pneumatic tyres on both drive wheels keep the machine steady across uneven plots. Delivery and assembly The TG480RTTR ships boxed for home assembly. If you'd rather have it delivered ready to run, add our Pre-Delivery Inspection (PDI) service - we'll assemble, fuel-check and test the machine in our workshop before van delivery, with a short handover at the door. Why buy from 5-year Spectrum warranty (T&C's apply) - supported directly by us, not by a generic distributor UK stock, UK dispatch, UK after-sales Spare parts and service support available throughout the warranty period";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG480RTTR-Angled-Right.jpg?v=1781862253";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG480RTTR-Main.jpg?v=1781862256";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG480RTTR-Angled-Left.jpg?v=1781862260";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG480RTTR-Front-2.jpg?v=1781862263";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG480RTTR-Left.jpg?v=1781862266";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG480RTTR-Right.jpg?v=1781862270";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Heavy-duty rear-tine cultivator engineered for hard, stony or previously-uncultivated ground";"211cc 4-stroke OHV engine - cleaner-burning, longer-lived and quieter than older side-valve designs";"48cm working width with up to 20cm digging depth for serious bed preparation";"Two-speed gearbox with dedicated reverse gear - back the machine out of corners without manhandling 72kg";"Belt-drive transmission absorbs shock loads and protects the engine when tines strike stones or roots";"3.6-litre fuel tank and 0.6-litre oil capacity for extended unbroken sessions";"Pneumatic-tyred drive wheels for stability on uneven plots and allotments";"Backed by Spectrum's 5-year warranty (T&C's apply)";"";"";"Yes";"Spectrum TG480RTTR Rear-Tine Petrol Cultivator - 211cc, 48cm Working Width";"";"No";"48";"Centimetres";"";"";"Steel";"20";"Centimetres";"72.00";"Kilograms";"";"";"";"72";"Kilograms";"";"";"";"Spectrum";"";"";"TG480RTTR";""
"Garden/Garden Tools & Gardening Equipment/Rakes, Hoes & Cultivators";"C-HRTF220";"Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator";"Feider";"3661602049346";"C-HRTF220";"Built for serious ground preparation, the Feider HRTF220 Pro delivers professional-grade performance for challenging soil conditions. Produced by a respected European manufacturer of garden equipment, this rear-tine cultivator is engineered for strength, efficiency, and long-lasting use. Powering the machine is a dependable 208cc, four-stroke, air-cooled OHV engine constructed to commercial specifications. The overhead valve configuration ensures steady, reliable output while promoting improved fuel efficiency, reduced operating noise, and lower emissions - providing strong performance without unnecessary waste. A durable belt-driven transmission efficiently channels power to the reinforced tines, delivering consistent torque and dependable operation. The generously sized fuel tank supports longer working sessions, making the HRTF220 Pro well suited to larger cultivation areas where uninterrupted productivity is important. Handling is made easier thanks to a two-speed gearbox that includes one forward and one reverse gear. This setup offers improved manoeuvrability and greater control, particularly when navigating tighter spaces or more awkward sections of ground. With a 40cm cultivation width, the machine allows you to cover substantial areas quickly, reducing the number of passes required. A robust debris shield is included as standard to help deflect soil and stones, enhancing operator safety during use. This machine arrives boxed and you'll need to be comfortable assembling the machine yourself. If you'd rather avoid this, we recommend calling the team on where you can pay for us to assemble the machine for £69.95 inc VAT. Please note that we're unable to accept returns based on difficulties with assembly, so choosing the option that best suits your confidence level will help ensure a smooth experience.";"Red";"Red";"#C92A2A";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Feider-HRTF220-Cultivator-Left-Side-1_56b7a8b2-1ca9-4bc0-894b-9235797f84e1.jpg?v=1781862438";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Feider-HRTF220-Cultivator-Side_c39a3e72-1a01-43e9-9d84-2b9bcd96c0de.jpg?v=1781862441";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Feider-HRTF220-Cultivator_15eec3f4-8fef-460f-bde2-fb54ac15d9b7.jpg?v=1781862445";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Professional rear-tine rotary cultivator built for challenging soil and serious ground preparation";"208cc four-stroke air-cooled OHV petrol engine with belt-driven transmission to reinforced tines";"40cm cultivation width with up to 35cm working depth; two-speed gearbox (1 forward / 1 reverse)";"3.6-litre fuel tank and 0.6-litre oil capacity for longer working sessions";"Pneumatic-tyred wheels and a robust debris shield fitted as standard for operator safety";"Backed by a 2-year warranty";"";"";"";"";"Yes";"Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator";"";"No";"40";"Centimetres";"";"";"Steel";"35";"Centimetres";"73.00";"Kilograms";"";"";"";"73";"Kilograms";"";"";"";"Feider";"";"";"HRTF220";""
"Garden/Garden Tools & Gardening Equipment/Rakes, Hoes & Cultivators";"C-RAC139PTIL";"Racing 139PTIL63 Petrol Front-Tine Tiller";"Feider";"3661602011428";"C-RAC139PTIL";"Racing 139PTIL63-C Petrol Front-Tine Tiller If you're maintaining an allotment plot or substantial kitchen garden, the high-performance Racing 139PTIL63-C Petrol Tiller will make the job of weeding, aeration and bed-preparation a whole lot quicker and far less tiring than with a hand fork! Its high-torque, high-capacity 139cc air-cooled four-stroke OHV motor drives a series of sixteen sharp-tined rotors (8 each side) that will tear through clay-heavy or sunbaked soils without fuss, reducing them to a fine tilth for planting/seeding and pulling-up weeds ready for hassle-free disposal. Weighing just 32.7kg and fitted with a front transport wheel, the Racing 139PTIL63-C offers low-effort handling, and can be moved to and from the workplace with the utmost ease. Widely spaced hand-grips confer excellent control and manoeuvrability; an adjustable depth skid means you can adapt to the task type. Also featured is a protective guard that prevents stones and clumped earth being projected in the operator's direction. Thanks to its substantial 36cm tilling-width, this model will cover a sizeable area with speed and efficiency. For four-stroke engine oil click here.";"Red";"Red";"#C92A2A";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-racing_rac139ptil_tiller_2_ee8ed83c-2279-4463-80ed-291a0de4cb53.jpg?v=1781862455";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"An easy-handling front-tine tiller offering best-in-class build-quality at an amazing price!";"Powerful but clean-running and fuel efficient OHV engine";"Expansive tilling-width for excellent large-area productivity";"Sharp and robust steel rotors";"25cm working-depth can be adjusted to suit the conditions and task-type";"Safety-enhancing stone guard";"Transport wheel makes site to site movement a breeze";"";"";"";"Yes";"Racing 139PTIL63 Petrol Front-Tine Tiller";"";"No";"36";"Centimetres";"";"";"Steel";"25";"Centimetres";"32.70";"Kilograms";"";"";"";"32.7";"Kilograms";"";"";"";"";"";"";"139PTIL63";""
"Garden/Garden Tools & Gardening Equipment/Rakes, Hoes & Cultivators";"C-TG60FTTR";"Spectrum TG60FTTR Front-Tine Petrol Cultivator - 212cc, 7HP, 30/60cm Adjustable Width";"Spectrum";"5065022450207";"C-TG60FTTR";"The Spectrum TG60FTTR is the front-tine cultivator we'd put in front of any allotment holder, smallholder or serious vegetable grower who needs to turn over big plots without the cost or weight of a rear-tine machine. A 212cc OHV engine, 24 hardened steel tines and a 60cm working width - adjustable down to 30cm - make short work of established beds, and the reverse gear gets you out of trouble when the ground has other ideas. 212cc OHV engine, 7HP at the tines The air-cooled, overhead-valve engine puts out a genuine 7HP / 5.2kW and drives the tine rotors through a torque-optimised belt. OHV construction runs cooler and burns cleaner than older side-valve engines - longer-lasting, quieter, and more fuel-efficient over a working session. 3.6-litre tank. 60cm working width - drop to 30cm for tight rows Six four-tine rotors give a full 60cm working path for fast bed preparation. Remove the outer rotor sets and the working width drops to 30cm, perfect for cultivating between established rows of vegetables, fruit canes or flower borders without damaging the crop. Most front-tine machines force you to commit to one width - the TG60FTTR lets you switch in minutes. Adjustable depth up to 330mm A depth-adjustable brake shoe controls how aggressively the tines dig in - from a 100mm pass for surface weeding through to a full 330mm bite for deep ploughing ahead of root crops. Heavy-duty steel construction holds the rotors true even in stony or clay-heavy ground. Reverse gear and a front transport wheel A dedicated reverse gear is the feature people miss most until they own a machine that has one - free yourself from a dug-in corner, back out of a hedge line or simply reposition without lifting 54kg of cultivator. A front-mounted transport wheel folds down for moving between shed and plot, then lifts clear when you're working. Delivery and assembly The TG60FTTR ships boxed for home assembly. If you'd rather have it delivered ready to run, add our Pre-Delivery Inspection (PDI) service - we'll assemble, fuel-check and test the machine in our workshop before van delivery, with a short handover at the door. Why buy from 5-year Spectrum warranty (T&C's apply) - supported directly by us, not by a generic distributor UK stock, UK dispatch, UK after-sales Spare parts and service support available throughout the warranty period";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Cultivator-Left-e1741862653199.jpg?v=1781862373";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Handles.jpg?v=1781862376";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Engine-1.jpg?v=1781862380";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Engine.jpg?v=1781862383";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Front-Wheel.jpg?v=1781862387";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Transport-Wheel.jpg?v=1781862390";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Cultivator-Right-e1741862629913.jpg?v=1781862393";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/Spectrum-Cultivator.jpg?v=1779349230";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Cultivator-Right-e1741862629913_15d34331-7983-4a10-835f-ec31d12b15cf.jpg?v=1781862396";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Transport-Wheel_f4ce91e2-7f1f-424a-8aaf-b2c9f73b8ed3.jpg?v=1781862400";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Front-Wheel_af577cbc-2e1c-409f-a8ee-175d0d6bf86e.jpg?v=1781862403";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Engine_e9755897-2a2a-4637-b83e-0b908c848471.jpg?v=1781862406";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Engine-1_24ce2fad-8c0c-42e6-915d-bbc6d395fc3d.jpg?v=1781862410";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG60FTTR-Handles_ee2bd1c6-9e02-4b29-9962-dba0043ba61b.jpg?v=1781862412";"";"";"";"";"";"";"";"212cc 4-stroke OHV petrol engine, 7HP / 5.2kW - cleaner-burning and longer-lived than older side-valve designs";"24 hardened steel tines on six four-tine rotors driven through a torque-optimised belt";"Adjustable working width - 60cm for fast bed preparation, drop to 30cm for cultivating between established rows";"Adjustable working depth from 100mm to 330mm via depth-controlled brake shoe";"Dedicated reverse gear - free yourself from a dug-in corner without lifting 54kg by hand";"Front-mounted transport wheel folds down for moving between shed and plot";"3.6-litre fuel tank for extended unbroken working sessions";"Heavy-duty steel construction built for stony, clay-heavy and previously-uncultivated ground";"Backed by Spectrum's 5-year warranty (T&C's apply)";"";"Yes";"Spectrum TG60FTTR Front-Tine Petrol Cultivator - 212cc, 7HP, 30/60cm Adjustable Width";"";"No";"60";"Centimetres";"";"";"Steel";"33";"Centimetres";"54.00";"Kilograms";"";"";"";"54";"Kilograms";"";"";"";"Spectrum";"";"";"TG60FTTR";""
