"category";"shop_sku";"title";"brand";"gtin";"variant_group_code";"description";"colour_group";"colour_display_name";"colour_hex_code";"main_image";"image_1";"image_2";"image_3";"image_4";"image_5";"image_6";"image_7";"image_8";"image_9";"image_10";"image_11";"image_12";"image_13";"image_14";"image_15";"image_16";"image_17";"image_18";"image_19";"image_20";"feature_1";"feature_2";"feature_3";"feature_4";"feature_5";"feature_6";"feature_7";"feature_8";"feature_9";"feature_10";"main_product_image";"main_product_name";"disclaimer_options";"made_to_order";"width_4";"width_4_uom";"height_7";"height_7_uom";"material_11";"depth_23";"depth_23_uom";"weight_61";"weight_61_uom";"wattage_67";"wattage_67_uom";"cable_length_103";"cable_length_103_uom";"cutting_height_112";"cutting_height_112_uom";"blade_length_130";"blade_length_130_uom";"capacity_1164";"capacity_1164_uom";"shipping_weight_10054";"shipping_weight_10054_uom";"economic_operator_name_10394";"economic_operator_address_10399";"economic_operator_email_10404";"manufacturer_name_10409";"manufacturer_address_10414";"manufacturer_email_10419";"product_model_number_10424";"product_safety_warnings_or_safety_guidance_10429"
"Garden/Garden Machinery & Power Tools/Lawn Mowers/Petrol Lawn Mowers";"C-TG40SE";"Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start";"Spectrum";"5065022450115";"C-TG40SE";"If you're looking for an affordable yet high-quality petrol lawnmower for a smaller garden, the Spectrum TG40SE 16″ Self-Propelled Petrol Lawnmower is an excellent choice. Designed for ease of use and efficiency, this mower features a durable steel deck, a reliable petrol engine, and a convenient electric key start - all at a budget-friendly price. Hassle-Free Electric Start with Backup Pull-Start No more struggling with pull cords - start the TG40SE effortlessly with the turn of a key. The electric start system ensures quick and reliable ignition, making mowing more convenient than ever. For added peace of mind, a manual recoil start is included as a backup, so you can always get mowing even if the battery isn't charged. Self-Propelled for Smooth, Effortless Mowing Tackling inclines, uneven terrain, or overgrown grass is easy with the self-propelled drive system, which takes the effort out of mowing. This feature ensures a consistent, controlled pace, reducing fatigue and making lawn care more enjoyable. Customizable Cutting Heights for a Perfect Lawn The five-position height adjustment allows you to set the cutting height between 25mm and 65mm, giving you full control over your lawn's appearance. Whether you prefer a short, manicured finish or a longer cut for thicker grass, the TG40SE adapts to seasonal changes with ease. Compact, User-Friendly Design Foldable, ergonomic handlebar for comfortable operation and easy storage. 40-litre grass collector with a breathable fabric design for improved collection efficiency. Hard-top grass bag minimizes pollen emissions, making it a great choice for hay fever sufferers. Built for Durability and Performance Strong steel cutting deck for a rugged, long-lasting build. Large rear wheels enhance traction, making it easier to navigate through thick or damp grass. Ball-bearing wheel mounts ensure smooth movement and longevity, outperforming standard bush-mounted wheels. 3-in-1 Cutting System: Collection, Side Discharge & Mulching The versatile cutting options make this mower ideal for different lawn conditions: ✔ Grass Collection - Keep your lawn tidy with the 40L collector, reducing the need for frequent emptying. ✔ Side Discharge - Perfect for longer, overgrown grass, this function spreads clippings evenly to prevent clumps, making it ideal for orchards, paddocks, and wildflower meadows. ✔ Mulching - Improve lawn health naturally by chopping grass clippings into fine pieces and redistributing them as a nutrient-rich fertilizer that retains moisture, suppresses weeds, and promotes greener growth. The Ideal Petrol Lawnmower for Small to Medium Gardens Whether you need a self-propelled mower for a compact lawn or a versatile cutting system for varying conditions, the Spectrum TG40SE 16"" Petrol Key Start Lawn Mower delivers exceptional reliability, ease of use, and performance - all at an outstanding value.";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-spec40.jpg?v=1781862273";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG40SE-Battery-Tray.jpg?v=1781862277";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG40SE-Engine-Top.jpg?v=1781862280";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG40SE-HOC.jpg?v=1781862283";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG40SE-Side-Discharge.jpg?v=1781862286";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Push-button electric start for hassle-free ignition.";"Smooth self-propulsion for effortless mowing.";"Enhanced grip and easy handling for superior control.";"Rugged steel deck built for durability and performance.";"Compact design with foldable features for space-saving storage.";"Engineered for low vibration, ensuring a more comfortable mowing experience.";"Three-in-one functionality: collect, mulch, or discharge clippings.";"";"";"";"Yes";"Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start";"";"No";"";"";"";"";"Steel";"";"";"29.00";"Kilograms";"2.7";"Kilowatts";"";"";"";"";"";"";"40";"Litres";"29";"Kilograms";"";"";"";"";"";"";"";""
"Garden/Garden Machinery & Power Tools/Lawn Mowers/Petrol Lawn Mowers";"S221749";"Spectrum TG48-PRO Honda Powered Petrol Self Propelled Lawnmower - 4 blade";"Spectrum";"5065022450177";"S221749";"A Reliable Choice for Mid-Sized Gardens The Spectrum TG48-PRO Petrol Lawnmower is a powerful and versatile addition to the Spectrum range, designed to handle mid-sized gardens up to 1500m² with ease. Whether you're dealing with uneven terrain, thick grass, or sloping landscapes, this self-propelled mower delivers outstanding performance, durability, and user-friendly operation. Key Features High-Performance 201cc Honda GCV200 Engine Equipped with a robust overhead-valve engine, the TG48-PRO offers exceptional torque and fuel efficiency, ensuring smooth cutting through overgrown, damp, or dense grass, whether you are a professional or domestic user this engine gives the performance you would expect from such a celebrated manufacturer GT Variable Speed Transmission This mower features a commercial grade General Transmissions (GT) variable speed gearbox, trusted worldwide for its reliability. The adjustable speed control lets you tailor the mowing pace to suit different lawn conditions. This rugged transmission will perform for the pro and domestic user alike 46cm Cutting Width for Efficient Coverage Designed to optimize mowing efficiency, the 46cm cutting deck covers more ground with fewer passes, making it an excellent choice for mid-sized lawns. Versatile Cutting Options Switch between grass collection, side discharge, and mulching to adapt to seasonal lawn care needs. Changing modes is quick and effortless. In addition the TG48Pro is equipped with a 4 bladed cutting system to give a great lawn finish as well as allowing the machine to deal with tougher conditions. This systems also provides additional engine crank shaft protection in the event you strike a solid object with the blades 4 Bladed Cutting Disc This machine is fitted with a special cutting disc with 4 sturdy swinging cutting heads to give you the best cutting performance. This system will also protect your HONDA engine from impact damage Durable Steel Deck Built to withstand tough conditions, the impact-resistant steel deck ensures long-lasting durability, even on rugged terrain. Adjustable Cutting Heights Easily set the cutting height from 25mm to 75mm using a single-point adjustment system, allowing flexibility for different grass types and growth stages. Enhanced Manoeuvrability with Large Drive Wheels Fitted with 250mm rear wheels, the TG48-PRO offers improved traction and control, making it easier to navigate through thick grass without damaging delicate lawns. Spacious 60L Grass Collector Reduce the need for frequent emptying with the large-capacity grass bag, allowing for longer mowing sessions with fewer interruptions. Built-in Deck Wash Port Maintain your mower effortlessly with the integrated wash port, which makes cleaning the under-deck quick and straightforward. Foldable & Adjustable Soft-Grip Handle For added comfort and convenience, the ergonomic handlebar is adjustable and foldable, making storage and transport simple. Reinforced Front Bumper for Extra Protection New for 2025, the heavy-duty front bumper bar enhances durability by protecting the mower's chassis from accidental impacts. Why Choose the Spectrum TG48-PRO? Designed for effortless lawn maintenance, the TG48-PRO offers a balance of power, efficiency, and durability. The combination of a 201cc Honda engine, variable speed control, and rugged steel construction ensures reliable performance in all conditions. Whether you're a homeowner or a professional gardener, this mower is built to deliver exceptional results with minimal effort. Bacj=ked with our 5 year domestic warranty you cannot go wrong. Always delivered to you ready to use. Handles Tough Terrain with Ease With self-propulsion, large wheels, and height-adjustable cutting, this mower excels on challenging landscapes, including slopes, thick grass, and uneven ground. Its multi-mode cutting system ensures your lawn looks its best year-round. Order the Spectrum TG48-PRO Today Upgrade your lawn care routine with the Spectrum TG48-PRO Petrol Lawnmower. Offering premium performance at great value, this model is available now. Don't miss the opportunity to experience the power, durability, and versatility of the TG48-PRO - order yours today!";"Green";"Green";"#2E7D32";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG48-PRO-Main.jpg?v=1781862347";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG46S-HOC.jpg?v=1781862352";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG46S-Bumper.jpg?v=1781862356";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG48-PRO-Left.jpg?v=1781862359";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG48-PRO-Right.jpg?v=1781862362";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG48-PRO-Front.jpg?v=1781862365";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/range-Spectrum-TG48-PRO-Main-Left.jpg?v=1781862368";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A multi-functional 3-in-1 mower, perfect for gardeners who require adaptability in their lawn care routine.";"Offers three cutting options: collection, mulching, or side discharge.";"Engineered with high-quality craftsmanship, setting it apart within its price range.";"Self-propelled design with a robust transmission for effortless operation.";"Durable steel cutting deck enhances longevity and resistance to impact.";"Foldable handlebar and fabric grass collector ensure easy storage.";"Includes a 'full bag' indicator to prevent overfilling and maintain airflow.";"Backed by an extended five-year warranty (terms and conditions apply).";"";"";"Yes";"Spectrum TG48-PRO Honda Powered Petrol Self Propelled Lawnmower - 4 blade";"";"No";"";"";"";"";"Steel";"";"";"33.00";"Kilograms";"2.7";"Kilowatts";"";"";"";"";"";"";"60";"Litres";"33";"Kilograms";"";"";"";"";"";"";"";""
