"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"leafBlowerSize";"leafBlowerBatteriesAreIncluded";"leafBlowerBatteryComposition";"leafBlowerBatteryType";"leafBlowerBatteryWeight";"leafBlowerBatteryWeightUnitOfMeasure";"leafBlowerControlMethod";"leafBlowerEuSparePartAvailabilityDuration";"leafBlowerEuSparePartAvailabilityDurationUnitOfMeasure";"leafBlowerLithiumBatteryEnergyContent";"leafBlowerLithiumBatteryEnergyContentUnitOfMeasure";"leafBlowerLithiumBatteryPackaging";"leafBlowerManufacturerWarrantyDescription";"leafBlowerMaterialComposition";"leafBlowerModelName";"leafBlowerModelNumber";"leafBlowerModelYear";"leafBlowerNumberOfBatteries";"leafBlowerNumberOfLithiumIonCells";"leafBlowerNumberOfLithiumMetalCells";"leafBlowerPowerPlugType";"leafBlowerVoltage";"leafBlowerVoltageUnitOfMeasure";"leafBlowerWattHoursPerBattery"
"gid://shopify/TaxonomyCategory/hg-12-3-7";"C-DM26PBV";"Spectrum DM26PBV Petrol Blower-Vac";"The Spectrum DM26PBV Petrol Blower-Vac provides and affordable - but high-quality - solution for those seeking a fast, hassle-free way to maintain a neat and tidy garden. With its powerful, 26cc two-stroke engine and high-performance turbine combining to develop a ferocious airflow, large amounts of leaves, hedge clippings, pine cones and pruning debris can piled-ready for disposal up in no time. The airflow can be adjusted to suit both the type of debris you're trying to shift and the surface you're working on. If you choose to use the Spectrum DM26PBV as a vacuum, you'll not only save even more time, you'll also end-up with a valuable mulch that's ideal for composting, or for spreading over flowerbeds to protect plants from frost damage during the winter months. Collected material is shredded, before being deposited into a large-capacity collection bag. The impressively lightweight (4.5kg) Spectrum DM26PBV Petrol Blower-Vac is equipped with a finger-trigger throttle and an ergonomic handle; features that work with its perfectly balanced design to ensure it's comfortable and easy to wield for any operator. Click here for two-stroke engine oil. It should be noted the Spectrum DM26PBV is covered by an extended five-year manufacturer's warranty for parts*. * Ts & Cs apply - to maintain a valid warranty, the machine must be serviced annually from the second year onwards.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450443";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/dm26pbv_blower_2.jpg?v=1760020781";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4.5";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"A classic petrol blower-vac designed to a";"One of the lightest machines of its type on the";"Powerful, reliable and easy-starting two-stroke";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"";"";"";"";"";"";"";"";"Other";"";"Spectrum C-DM26PBV";"C-DM26PBV";"";"";"";"";"";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-7";"SBS480CBV";"Spectrum SBS480CBV 40V Cordless Leaf Blower Vacuum - Bare Tool (Battery & Charger Sold Separately)";"Spectrum SBS480CBV - Blow, Vac, Mulch. Garden tidy in minutes. Autumn leaves, post-mow clippings, damp debris in hard-to-reach corners - the Spectrum SBS480CBV Cordless Blower Vac takes care of it all. One tool, three functions: blower, vacuum, and mulcher. No cables. No compromise. In blower mode, the SBS480CBV generates an air speed of up to 52m/s with an air volume of 264m³/h - enough to shift stubborn wet leaves from paths, patios, and lawn edges in quick, efficient passes. Switch to vacuum mode and the air volume jumps to 588m³/h, pulling debris into the 12-litre collection bag while the built-in 3-blade mulching system shreds it at a 30:1 ratio. That means a full bag's worth of leaves compresses down to a fraction of its original volume - fewer trips to the compost heap, more time getting on with the job. Weighing just 4.26kg with an adjustable handle, the SBS480CBV stays comfortable during longer sessions. A reliable brush motor delivers the consistent airflow you need without the noise and exhaust of a petrol equivalent. Tool-only model. Compatible with Spectrum 2.0Ah and 4.0Ah batteries and all Spectrum 40V chargers, all available separately.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450641";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-SBS480CBV-Blower-Vac.jpg?v=1781019721";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-SBS480CBV-Blower-Vac-Left.jpg?v=1781019724";"";"";"";"";"";"";"";"";"";"";"";"";"";"4.26";"kg";"Recycle responsibly. Do not dispose of in general household waste; take to a local recycling centre (WEEE).";"Box";"3-in-1: blower, vacuum, and mulcher in a single";"52m/s air speed in blower mode";"588m³/h vacuum air volume for fast, efficient";"";"";"";"";"";"";"No";"No";"";"";"";"";"Electrical product; keep dry. Moving/sharp parts. Read the instruction manual and wear suitable PPE before use.";"";"";"No";"";"";"";"";"";"";"";"";"";"";"";"";"Spectrum SBS480CBV";"SBS480CBV";"";"";"";"";"";"40";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-7";"SBS480CBV-KIT";"Spectrum SBS480CBV 40V Cordless Leaf Blower Vacuum - Complete Kit (4.0Ah Battery + Fast Charger)";"The Spectrum SBS480CBV 40V Cordless Leaf Blower Vacuum - Complete Kit Everything you need in one box: the tool, the right battery (or batteries), and a matching charger - ready to work the moment it arrives. What's in this kit 1x Spectrum SBS480CBV - 3-in-1 blower/vacuum/mulcher, 52 m/s air speed, 30:1 mulching 1x Spectrum SBS40CB - 40V 4.0Ah Lithium-Ion battery (keeps airflow consistent throughout the charge) 1x Spectrum SBSCBC - 40V Standard Battery Charger (0.5A) Spectrum SBS480CBV - Blow, Vac, Mulch. Garden tidy in minutes. Autumn leaves, post-mow clippings, damp debris in hard-to-reach corners - the Spectrum SBS480CBV Cordless Blower Vac takes care of it all. One tool, three functions: blower, vacuum, and mulcher. No cables. No compromise. In blower mode, the SBS480CBV generates an air speed of up to 52m/s with an air volume of 264m³/h - enough to shift stubborn wet leaves from paths, patios, and lawn edges in quick, efficient passes. Switch to vacuum mode and the air volume jumps to 588m³/h, pulling debris into the 12-litre collection bag while the built-in 3-blade mulching system shreds it at a 30:1 ratio. That means a full bag's worth of leaves compresses down to a fraction of its original volume - fewer trips to the compost heap, more time getting on with the job. Weighing just 4.26kg with an adjustable handle, the SBS480CBV stays comfortable during longer sessions. A reliable brush motor delivers the consistent airflow you need without the noise and exhaust of a petrol equivalent. One battery. Every tool in the Spectrum 40V range. Your Spectrum 40V battery is the start of a system, not an end. The same battery that powers this tool will drive the entire Spectrum 40V cordless range - lawnmowers, hedge trimmers, pole hedge trimmers, leaf blowers, and handy mowers. Buy into the platform once, then add tools over time without ever paying for a new battery or charger. Spare 2.0Ah and 4.0Ah packs are interchangeable across every 40V tool in. 5-year manufacturer's warranty Every Spectrum cordless tool is backed by a 5-year domestic warranty - full parts and labour cover in years 1-2, parts-only cover in years 3-5, subject to annual servicing and proof of purchase. Delivery is 2-5 working days as standard, with premium next-day delivery available at checkout.";"Spectrum";"Each";"China";"No";"Green";"";"5061122340158";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-SBS480CBV-Blower-Vac_9a50d813-e729-49d9-9466-95fe11fb8a36.jpg?v=1781019727";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-SBS480CBV-Blower-Vac-Left_99950245-2693-4e97-a9ba-0054f76d9399.jpg?v=1781019730";"";"";"";"";"";"";"";"";"SBS480CBV";"";"";"";"";"4.26";"kg";"Recycle responsibly. Do not dispose of in general household waste; take to a local recycling centre (WEEE).";"Box";"3-in-1: blower, vacuum, and mulcher in a single";"52m/s air speed in blower mode";"588m³/h vacuum air volume for fast, efficient";"";"";"";"";"";"";"No";"Yes";"";"";"";"";"Electrical product; keep dry. Moving/sharp parts. Read the instruction manual and wear suitable PPE before use.";"";"";"Yes";"";"";"";"";"";"";"";"";"";"";"";"";"Spectrum SBS480CBV";"SBS480CBV";"";"";"";"";"";"40";"";""
