"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"agriculturalSuppliesSize";"agriculturalSuppliesBladeLength";"agriculturalSuppliesCableLength";"agriculturalSuppliesContainsLiquidContents";"agriculturalSuppliesEuSparePartAvailabilityDuration";"agriculturalSuppliesEuSparePartAvailabilityDurationUnitOfMeasure";"agriculturalSuppliesIntendedUse";"agriculturalSuppliesLithiumBatteryVoltage";"agriculturalSuppliesLithiumBatteryVoltageUnitOfMeasure";"agriculturalSuppliesManufacturerSerialNumber";"agriculturalSuppliesManufacturerWarrantyDescription";"agriculturalSuppliesMaterialType";"agriculturalSuppliesMaximumPressure";"agriculturalSuppliesMaximumPressureUnitOfMeasure";"agriculturalSuppliesPowerPlugType";"agriculturalSuppliesRechargeableBatteryIncluded";"agriculturalSuppliesSwitchStyle"
"gid://shopify/TaxonomyCategory/ha-15-31-2";"C-TY5000H";"Spectrum TY5000H 5 Tonne Log Splitter";"Spectrum TY5000H 5-Tonne Electric Log Splitter - Simplify Your Firewood Prep Say goodbye to the strain of manual log chopping with the Spectrum TY5000H 5-Tonne Electric Log Splitter. Designed for efficiency and ease, this powerful machine takes the effort out of splitting firewood - so you can focus on staying warm. Reliable Power & Effortless Splitting With a 5-tonne hydraulic system, the TY5000H delivers smooth, precise log splitting. Simply position your log, engage the lever, and let the machine do the hard work - no heavy lifting required. Built for Versatility Splits logs up to 25cm in diameter and 52cm long Powerful 2200W electric motor - reliable, quiet, and maintenance-free Durable hydraulic ram and precision-cut splitting wedge for clean, efficient cuts Safety & Ease of Use Two-handed operation enhances user safety Optional stand available for ergonomic, waist-height splitting Perfect for home users processing firewood in bulk Need extra power? Explore our 7-tonne and 8-tonne models for even tougher log-splitting tasks.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450290";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-Horizontal-Log-Splitter-scaled_89ae31de-b89e-4c26-94b2-7ae4bcadee46.jpg?v=1781629422";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"55";"kg";"Recycle responsibly. Do not dispose of in general household waste; take to a local recycling centre (WEEE).";"Box";"Quick & Hassle-Free";"Easy to Use & Maintain";"Strong & Versatile";"";"";"";"";"";"";"No";"No";"";"";"";"";"Electrical product; keep dry. Moving/sharp parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"";"";"";"";"";"";"Other";"";"";"";"";"";""
"gid://shopify/TaxonomyCategory/ha-15-31-2";"C-TY7000H";"Spectrum TY7000H 7 Tonne Log Splitter";"Spectrum TY7000H 7-Tonne Electric Log Splitter - Effortless Firewood Preparation Cut down on the strain of manual log splitting with the Spectrum TY7000H 7-Tonne Electric Log Splitter. Built for power and efficiency, this machine transforms tough, dense logs into firewood with minimal effort - keeping you warm without the backbreaking work. Powerful Hydraulic Splitting Equipped with a 7-tonne hydraulic system, the TY7000H makes light work of logs that would otherwise require intense chopping. Just position your log, engage the lever, and let the machine handle the heavy lifting. Built for Performance Handles logs up to 25cm in diameter and 52cm long 2300W electric motor - reliable, quiet, and low-maintenance Durable hydraulic ram and a precision-cut splitting wedge for clean, efficient results User Safety & Comfort First Two-handed operation prevents accidental activation Ergonomic stand keeps the machine at a comfortable working height Designed for bulk log processing, making it an excellent choice for home users stocking up for winter Whether you're prepping firewood after chainsawing or simply looking for a quicker, safer alternative, the Spectrum TY7000H ensures smooth, reliable splitting - helping you power through your winter fuel supply with ease.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450306";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-Horizontal-Log-Splitter-scaled.jpg?v=1781629433";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60";"kg";"Recycle responsibly. Do not dispose of in general household waste; take to a local recycling centre (WEEE).";"Box";"Built for Tough Jobs";"Powerful & Effortless Splitting";"Safe & Easy to Use";"";"";"";"";"";"";"No";"No";"";"";"";"";"Electrical product; keep dry. Moving/sharp parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"";"";"";"";"";"";"Other";"";"";"";"";"";""
"gid://shopify/TaxonomyCategory/ha-15-31-2";"C-TY8000V";"Spectrum TY8000V Electric Upright 8-Tonne log Splitter";"Introducing the Spectrum TY8000V 8-Tonne Vertical Electric Log Splitter - your ultimate solution for efficient and powerful log splitting. Designed for homeowners and professionals alike, this heavy-duty machine effortlessly handles large volumes of firewood, making it ideal for wood-burning stoves, fireplaces, and outdoor fire pits. Key Features: Robust 3000W Electric Motor: Delivers consistent, maintenance-free performance, ensuring reliable operation for all your log-splitting needs. 8-Tonne Splitting Force: The hydraulic ram generates a formidable 8 tonnes of force, effortlessly splitting logs of various sizes and densities, including tough hardwoods like cherry, maple, and birch. Adjustable Three-Position Base Plate: Accommodates logs up to 55cm in length and 30cm in diameter, providing versatility for different log sizes. User-Friendly Design: Weighing 110kg, the splitter offers superior stability and durability. Integrated wheels and a transport handle ensure easy maneuverability from storage to workspace. Enhanced Safety Features: Two-handed operation keeps hands clear during use, while shielded activation levers and a secure clamping system provide additional protection and precise control. For those seeking a reliable and efficient solution for firewood preparation, the Spectrum TY8000V stands out as a top choice, combining power, precision, and safety in one robust machine.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450313";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SpectrumTY8000V_2.jpg?v=1739895123";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SpectrumTY8000V_3.jpg?v=1739895123";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SpectrumTY8000V_4.jpg?v=1739895124";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SpectrumTY8000V_5.jpg?v=1739895123";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/SpectrumTY8000V.jpg?v=1739895123";"";"";"";"";"";"";"";"";"";"";"110";"kg";"Recycle responsibly. Do not dispose of in general household waste; take to a local recycling centre (WEEE).";"Box";"A quality domestic-use log splitter designed to";"Offers high-specification features at an";"Mains-electric motor means zero maintenance and";"";"";"";"";"";"";"No";"No";"";"";"";"";"Electrical product; keep dry. Moving/sharp parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
