"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"powerToolSetModelName";"powerToolSetSize";"powerToolSetAmperage";"powerToolSetAmperageUnitOfMeasure";"powerToolSetBatteriesAreIncluded";"powerToolSetBatteryComposition";"powerToolSetBatteryType";"powerToolSetBatteryWeight";"powerToolSetBatteryWeightUnitOfMeasure";"powerToolSetCableLength";"powerToolSetCordLength";"powerToolSetEuSparePartAvailabilityDuration";"powerToolSetEuSparePartAvailabilityDurationUnitOfMeasure";"powerToolSetItemDiameter";"powerToolSetLithiumBatteryEnergyContent";"powerToolSetLithiumBatteryEnergyContentUnitOfMeasure";"powerToolSetLithiumBatteryPackaging";"powerToolSetMaterialComposition";"powerToolSetMaxRotationalSpeed";"powerToolSetMaximumRotationalSpeedUnitOfMeasure";"powerToolSetMaximumWeightRecommendation";"powerToolSetMaximumWeightRecommendationUnitOfMeasure";"powerToolSetModelNumber";"powerToolSetModelYear";"powerToolSetNumberOfBatteries";"powerToolSetNumberOfLithiumIonCells";"powerToolSetNumberOfLithiumMetalCells";"powerToolSetPowerAndPlugDescription";"powerToolSetPowerPlugType";"powerToolSetSwitchStyle";"powerToolSetVoltage";"powerToolSetWattHoursPerBattery";"powerToolSetWattage";"powerToolSetWattageUnitOfMeasure"
"gid://shopify/TaxonomyCategory/hg-12-4-4-13";"C-SP31105";"Spectrum 97cm Towed Lawn & Leaf Sweeper | SP31105";"Spectrum SP31105 97cm - 38"" Towed Lawn & Leaf Sweeper Ideal for Autumn leaf collection and throughout the year for debris and grass collection as needed For an impressively rapid work rate over substantial areas, choose the 97cm-wide Spectrum SP31105 Towed Lawn & Leaf Sweeper! Power generated by the action of the wheels on the ground is transmitted to the 25cm-diameter brush at a ratio of 1:4.5, so a thorough sweep with no missed patches is guaranteed. You can raise and lower the brush in infinite increments to suit the nature of the application - for example, you might want to select a lower position for a clean sweep on hard surfaces; or a higher one for a more gentle action on gravel and lawns. The Spectrum SP31105 Tow-Behind Sweeper is supplied with a universal hitchpin, so it can be hooked-up to any garden tractor or ATV, regardless of brand or manufacturer. It's supplied with vast, 340-litre debris hopper, which can be easily emptied without leaving the driver's seat. You can collapse the hopper to help save space in the storage area. Other quality features include pinion-and-pawl-type gearing, which works to prevent the brush turning when you're reversing; and large-diameter, rubber tyred wheels, which provide the grip you'll need when operating on dewy grass. All steel parts benefit from a protective powder-coated finish.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450085";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-sp31105-700w_deab50b4-2acc-4aea-8973-20bff8b485bf.jpg?v=1781019529";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"29";"kg";"Recycle metal, plastic and packaging at a local recycling centre.";"Box";"A simple but effective way to clear leaves and";"Comes with a universal hitchpin that facilitates";"97cm/38” sweep-width for a rapid work rate over";"";"";"";"";"";"";"No";"No";"";"";"";"";"Moving parts and pinch points. Read the instruction manual and wear suitable PPE before use.";"";"Spectrum C-SP31105";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Steel";"";"";"";"";"C-SP31105";"";"";"";"";"";"";"";"";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-4-4-13";"C-SP31109";"Spectrum 122cm - 42"" Towed Lawn & Leaf Sweeper | SP31109";"Spectrum SP31109 Towed Lawn & Leaf Sweeper Ideal for Autumn leaf collection and throughout the year for debris and grass collection as needed Leaves on the lawn are not just unsightly - they harbour pests and block sunlight; and as they breakdown on hard surfaces, they become a slip hazard, rendering your patio or driveway dangerous to cross. The Spectrum SP31109 Towed Lawn & Leaf Sweeper provides an effective solution, picking-up and dumping leaves, twigs, scarifying-debris, hedge cuttings and grass clippings, and dumping them in a hugely capacious, 413-litre collector, which can be emptied from the comfort of your garden tractor 's seat. Thanks to its adjustable brush height, the flexible Spectrum SP31109 can be configured to operate not just on lawns, but also on hard surfaces and gravel. Sizeable, 254mm wheels with high-grip rubber tyres ensure stability in use, and provide the traction required for successful damp-ground operation; a powder coated finish on the steel parts brings corrosion- and scratch-resistance. Universal hitchpin included.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450078";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-sp31109-700w_f3c494fe-5e1c-419d-87fb-024203fcb67f.jpg?v=1781019533";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"kg";"Recycle metal, plastic and packaging at a local recycling centre.";"Box";"A simple but effective way to clear leaves and";"Comes with a universal hitchpin that facilitates";"122cm/48” sweep-width for a rapid work rate over";"";"";"";"";"";"";"No";"No";"";"";"";"";"Moving parts and pinch points. Read the instruction manual and wear suitable PPE before use.";"";"Spectrum C-SP31109";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Steel";"";"";"";"";"C-SP31109";"";"";"";"";"";"";"";"";"";"";""
