"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"outdoorLivingSize";"outdoorLivingControllerType";"outdoorLivingEuSparePartAvailabilityDuration";"outdoorLivingEuSparePartAvailabilityDurationUnitOfMeasure";"outdoorLivingManufacturerWarrantyDescription";"outdoorLivingMaterialType";"outdoorLivingNumberOfSets";"outdoorLivingPowerSource";"outdoorLivingScent";"outdoorLivingSpecialFeature";"outdoorLivingVoltage"
"gid://shopify/TaxonomyCategory/hg-12-3-15";"C-DM26L";"Spectrum DM26L Petrol Brushcutter and Strimmer";"Enjoy superior cutting performance and get comfortable, low-effort handling at a remarkably low price with this high-quality but affordable petrol brushcutter from Spectrum! The Spectrum DM26L comes with two cutter heads - there's a twin-line spool designed for tidying lawn edges, fence lines and tree bases; and a three-tooth metal blade, which will scythe through nettles, bramble and other more challenging vegetation with consummate ease. Driving your chosen head is a medium-displacement, 25.4cc two-stroke air-cooled motor that outputs a hefty 1.1hp, and which has been equipped with a translucent fuel tank for at-a-glance monitoring of the fill level. The tank holds a substantial 0.65 litres, so you'll be able to spend more time working and less time topping-up (click here for two-stroke oil). Excelling when it comes to ease of use, the Spectrum DM26L weighs just 5.1kg, and boasts and ergonomic 'loop-and-bar' handle configuration. The line head on the Spectrum DM26L Petrol Brushcutter incorporates a handy bump-feed mechanism, which means you won't have to waste time attending directly to the spool when you need to refresh worn-out cord. All Spectrum DM products are designed to be easy to start, lightweight and easy to use We always recommend the use of eye protection such as goggles when using these types of machine. Its a good idea to get some spare trimmer line, 2 stroke oil and fuel can when ordering. It should be noted that Spectrum handheld garden machines and ride-on mowers are covered by an extended five-year manufacturer's warranty for parts*. * Ts & Cs apply - to maintain a valid warranty, the machine must be serviced annually from year two onwards";"Spectrum";"Each";"China";"No";"Green";"";"5065022450030";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/dm26l.jpg?v=1734710477";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.1";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"A classic petrol brushcutter designed to a";"Powerful but clean running and fuel-efficient";"Solid-steel driveshaft for optimum torque transfer";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"Other";"Steel";"";"Petrol/Diesel";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-15";"GNP560-WT";"Spectrum GNP560-WT Wheeled Trimmer";"Spectrum GNP560-WT Wheeled Trimmer The Spectrum GNP560-WT Wheeled Trimmer is a powerful, easy-to-use solution for clearing dense grass, nettles, and thick undergrowth over large and uneven landscapes. Designed to combine strength with practicality, it's ideal for tackling tough vegetation across challenging terrain. Key Features: 166cc Four-Stroke Air-Cooled Engine: Provides efficient fuel use and low emissions, delivering consistent performance with reduced environmental impact. OHV (Overhead Valve) Design: Helps the engine run cooler and more efficiently, contributing to improved durability and longer lifespan. Tough Cutting Performance: Equipped with a robust 4mm cutting line that can easily manage heavy, overgrown vegetation. Customisable Cutting Height: Adjustable between 30mm and 90mm to suit different ground conditions and cutting requirements. Generous 56cm Cutting Width: Covers a wide area in less time, making it far more efficient than standard handheld alternatives. Smooth Mobility: Large 355mm spoked wheels and a push-forward design allow for stable and effortless movement over bumpy or sloped ground. User-Friendly Build: Padded handles help reduce strain during extended use, and the foldable design ensures easy storage when not in use. Whether you're managing a large property or handling professional landscaping tasks, the Spectrum GNP560-WT offers the performance and reliability needed to get the job done with minimal hassle. Use Spectrum CL40-R-DUO when you need to replace the strimmer line. Click here for more info.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450450";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-gnp.jpg?v=1781629260";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Guard.jpg?v=1781629264";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Handle-Rachet.jpg?v=1781629268";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Left.jpg?v=1781629271";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Main-Image.jpg?v=1781629275";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Strimmer-Head-1.jpg?v=1781629278";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Upper-Handles.jpg?v=1781629282";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Wheel.jpg?v=1781629290";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-GNP560-WT-Engine.jpg?v=1781629295";"";"";"";"";"";"";"35";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"Built for Demanding Tasks";"Excellent Terrain Handling";"Durable Cutting Line";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"Other";"";"";"Petrol/Diesel";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-15";"S154545";"Spectrum DM26C Curved-Shaft Petrol Grass and weed Strimmer";"Put the final touches to your lawn, garden and other outdoor areas the fast, low-effort way with the powerful but easy handling Spectrum DM26C Petrol Grass-Trimmer! Supplying that power is a high-performance, 25.4cc air-cooled two-stroke engine that develops an impressive 1hp, and which features a capacious 0.65-litre tank for extended runtimes between refuelling stops. The curved-shaft design of the Spectrum DM26C gives you the best possible angle of attack for mowing and strimming, and works with an ergonomic 'loop-and-bar' handle configuration and a remarkably low machine weight of 5kg to minimise operator fatigue. The class-leading Spectrum DM26C Curved-Shaft Petrol Grass-Trimmer is supplied with a twin-line cutter head, which has a generous 34cm cutting path for superior productivity. A bump-feed system does away with the need to attend directly to the head when the cord needs to be advanced. The Spectrum DM26C requires two-stroke engine oil - you'll find some here. All Spectrum DM products are designed to be easy to start, lightweight and easy to use. When buying we also suggest getting some spare strimmer line, 2 stroke oil and a fuel can. When using these sorts of products you should wear eye protection like goggles It should be noted that Spectrum handheld garden machines and ride-on mowers are covered by an extended five-year manufacturer's warranty for parts*. * Ts & Cs apply - to maintain a valid warranty, the machine must be serviced annually from the second year onwards";"Spectrum";"Each";"China";"No";"Green";"";"5065022450023";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/dm26c.jpg?v=1734710472";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"A classic petrol grass-trimmer designed to a";"Powerful but clean running and fuel-efficient";"Curved shaft means the cutter head is at the";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"Other";"";"";"Petrol/Diesel";"";"";""
