"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"rawMaterialsSize";"rawMaterialsContainsLiquidContents";"rawMaterialsFinishType";"rawMaterialsMaterial"
"gid://shopify/TaxonomyCategory/ha-15-34-2-2";"100134O";"Spectrum 100134O Replacement Concrete Mixer Drum - fits Belle, Build Buddy & Mixers";"Genuine Spectrum replacement concrete / cement mixer drum, suitable for a wide range of electric cement mixers including the Belle 130L. The seam-welded steel construction is ideal for replacing old, heavily worn drums that strain the motor and reduce mixing efficiency. Also fits popular electric mixers from Build Buddy and the electric concrete mixer range. Seam-welded steel drum for long service life Distinctive Spectrum orange colour Fits the majority of electric cement mixers, including Belle 130L Drop-in replacement for worn or damaged drums Compatible brands include Belle, Build Buddy and Model: 100134O | EAN: 5065022450740 | Material: Steel | Colour: Orange";"Spectrum";"Each";"China";"No";"Green";"";"5065022450740";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/51nrG93YJLL.jpg?v=1779431104";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/61nS2iYq1VL.jpg?v=1779431105";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/61VdJQ6yjxL.jpg?v=1779431104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Recycle metal, plastic and packaging at a local recycling centre.";"Box";"Seam-welded steel drum for long service life";"Distinctive Spectrum orange colour";"Fits the majority of electric cement mixers,";"";"";"";"";"";"";"No";"No";"";"";"";"";"Moving parts and pinch points. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";""
"gid://shopify/TaxonomyCategory/ha-15-34-2-2";"100134S";"Spectrum 100134S Replacement Concrete Mixer Drum - fits Belle, Build Buddy & Mixers";"Genuine Spectrum replacement concrete / cement mixer drum, suitable for a wide range of electric cement mixers including the Belle 130L. The seam-welded steel construction is ideal for replacing old, heavily worn drums that strain the motor and reduce mixing efficiency. Also fits popular electric mixers from Build Buddy and the electric concrete mixer range. Seam-welded steel drum for long service life Fits the majority of electric cement mixers, including Belle 130L Drop-in replacement for worn or damaged drums Compatible brands include Belle, Build Buddy and";"Spectrum";"Each";"China";"No";"Green";"";"5065022450771";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/51_LEgYA8gL._AC_SL1450.jpg?v=1779516782";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/61VdJQ6yjxL.jpg?v=1779431104";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/61Z1-mwUZKL._AC_SL1500.jpg?v=1779516781";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Recycle metal, plastic and packaging at a local recycling centre.";"Box";"Seam-welded steel drum for long service life";"Fits the majority of electric cement mixers,";"130L Drop-in replacement for worn or damaged drums";"";"";"";"";"";"";"No";"No";"";"";"";"";"Moving parts and pinch points. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";""
"gid://shopify/TaxonomyCategory/ha-15-34-2-2";"100134Y-2";"Spectrum 100134Y Replacement Concrete Mixer Drum - fits Belle, Build Buddy & Mixers";"Genuine Spectrum replacement concrete / cement mixer drum, suitable for a wide range of electric cement mixers including the Belle 130L. The seam-welded steel construction is ideal for replacing old, heavily worn drums that strain the motor and reduce mixing efficiency. Also fits popular electric mixers from Build Buddy and the electric concrete mixer range. Seam-welded steel drum for long service life Fits the majority of electric cement mixers, including Belle 130L Drop-in replacement for worn or damaged drums Compatible brands include Belle, Build Buddy and";"Spectrum";"Each";"China";"No";"Green";"";"5065022450764";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/51fTcxMMr7L._AC_SL1500.jpg?v=1779516981";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/61VdJQ6yjxL.jpg?v=1779431104";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/61Zdq-EwFwL._AC_SL1500.jpg?v=1779516981";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Recycle metal, plastic and packaging at a local recycling centre.";"Box";"Seam-welded steel drum for long service life";"Fits the majority of electric cement mixers,";"130L Drop-in replacement for worn or damaged drums";"";"";"";"";"";"";"No";"No";"";"";"";"";"Moving parts and pinch points. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";""
