"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"lawnMowerSize";"lawnMowerAssembly";"lawnMowerBatteriesAreIncluded";"lawnMowerBatteryComposition";"lawnMowerBatteryType";"lawnMowerBatteryWeight";"lawnMowerBatteryWeightUnitOfMeasure";"lawnMowerConnection";"lawnMowerControlMethod";"lawnMowerCordLength";"lawnMowerCuttingHeight";"lawnMowerCuttingWidth";"lawnMowerEuSparePartAvailabilityDuration";"lawnMowerEuSparePartAvailabilityDurationUnitOfMeasure";"lawnMowerFoldingHandle";"lawnMowerGrassBoxCapacity";"lawnMowerLithiumBatteryEnergyContent";"lawnMowerLithiumBatteryEnergyContentUnitOfMeasure";"lawnMowerLithiumBatteryPackaging";"lawnMowerManufacturerWarrantyDescription";"lawnMowerMaterialComposition";"lawnMowerModelName";"lawnMowerModelNumber";"lawnMowerModelYear";"lawnMowerNumberOfBatteries";"lawnMowerNumberOfLithiumIonCells";"lawnMowerNumberOfLithiumMetalCells";"lawnMowerPowerPlugType";"lawnMowerPowerSource";"lawnMowerRearRoller";"lawnMowerVoltage";"lawnMowerVoltageUnitOfMeasure";"lawnMowerWattHoursPerBattery"
"gid://shopify/TaxonomyCategory/hg-12-3-5-1";"C-MTF66-MQ";"Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Gear Drive";"This ride-on mower will collect or mulch making it a two-in-one machine. With a cutting-width of a mere 66cm, this ultra-compact ride-on mower from famous British brand, Mountfield, is suitable for obstacle-packed lawns, which are that little bit too big to cover efficiently with a walk-behind machine. The Mountfield MTF66 MQ Ride-On Mower is a recycling mower, which reduces grass clippings to a fine, highly compostable mulch that's spread evenly over the lawn surface, where it will rapidly rot-down and vanish. This process will see the turf benefit from the natural nutrients and moisture released by the decomposition process. Thanks to its five-speed gearbox (4+1), five-stage cutting-height and additional side-discharge function, the Mountfield MTF66 MQ Compact Lawn Rider can be set-up to achieve excellent results, no matter what the weather conditions or grass length. It features an under-seat contact breaker, which optimises safety by ensuring the engine won't run if you're not at the controls, and it's driven by a beefy, 4.8hp (224cc), Stiga ST 250 ES electric-start engine, which boasts an OHV-type layout for reduced noise, wear, vibration and fuel consumption. Unusually for a mulching/side-discharge machine, the versatile Mountfield MTF66 MQ is also collection capable, with the large, 150-litre-capacity grassbag included in the package. You'll also get a mow-in-reverse capability, which increases productivity by allowing you - providing you're totally sure it's safe - to backup with the blade engaged. Side chute, mulch plug and battery charger included worth over £200. PLEASE NOTE: This machine is NOT compatible with light towing. If you are looking for a compact mower with this facility, why not take a look at our Spectrum DC24! This model is covered by a two-year manufacturer's warranty, and is suitable for use across lawns up to around 2000m2.";"Mountfield";"Each";"China";"No";"Red";"";"8008984509856";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-MTF66MQ_main.jpg?v=1781018951";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-MTF66MQ_main_2.jpg?v=1781018956";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-MTF66MQ_grass_box.jpg?v=1781018963";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-MTF66MQ_right.jpg?v=1781018968";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-MTF66MQ_left_side.jpg?v=1781018973";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/827M_2T0052483CAS_detail05.jpg?v=1773426170";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/827M_2T0052483CAS_detail09.jpg?v=1773426170";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/827M_2T0052483CAS_detail01.jpg?v=1773426170";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/827M_2T0052483CAS_detail02.jpg?v=1773426170";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/827M_2T0052483CAS_detail04.jpg?v=1773426170";"";"105";"73";"170";"cm";"130";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"One of the most compact ride-on mowers available!";"Great for gardens with awkward corners and narrow";"Designed for lawn areas up to 2000m2";"";"";"";"";"";"";"No";"Yes";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"";"";"";"";"";"";"";"66cm";"";"";"";"";"";"";"";"2 Year Limited Warranty";"";"Mountfield C-MTF66-MQ";"C-MTF66-MQ";"";"";"";"";"";"Petrol/Diesel";"";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-5-1";"DCT38M-SDM";"Spectrum DCT38M-SDM 38"" Side Discharge and Mulch Lawn Tractor with Manual Drive";"Spectrum DCT38M-SDM Manual Gear SIDE DISCHARGE AND MULCH Lawn Tractor Tackle your lawn with speed, precision, and comfort using the Spectrum DCT38M-SDM Lawn Tractor. Expertly engineered yet surprisingly affordable, this high-performance machine combines powerful features with ease of use, making it ideal for large lawns, rough-grass areas, or complex landscapes. Powered by a robust 452cc air-cooled engine, the DCT38M-SD delivers reliable performance and effortless cutting. Its manual gears can be changed effortlessly, allowing smooth acceleration and deceleration in both forward and reverse. The seven-position cutting height, easily adjusted via a conveniently placed lever, ensures perfect results across varying grass conditions. Meanwhile, large 457mm drive tyres provide excellent traction without damaging your lawn, and a tight 140cm turning circle makes sharp turns simple, saving you time at the end of each pass. Designed for convenience, the DCT38M-SD includes a deck-mounted hosepipe attachment for effortless undercarriage cleaning and a mulch plug for natural turf fertilisation and enhanced lawn health. Its generous 98cm cutting width makes light work of areas up to approximately 6,000m². Would you rather have a collection machine? No problem! Check out our Spectrum DCT38H! Now, why not take a scroll all the way to the bottom of this page to see some great 'add-on' ideas? With so many tractors available, it's easy to get lost in the options. That's why the DCT38 range makes the decision simple. Built to deliver dependable performance and long-lasting quality, these tractors go a step further with enhanced specifications that outperform many competitors in the same class. For power, durability and overall value, the DCT38 range represents a smart, future-proof choice. To maintain warranty validity, annual servicing from year two onwards by an authorised dealer is required. N.B this machine arrives boxed for home assembly. Please call the office for prices of assembly or if you require an express delivery on.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450610";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Right_Side_Main.jpg?v=1781019637";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Main.jpg?v=1781019642";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Front.jpg?v=1781019646";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Rear.jpg?v=1781019651";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_HOC.jpg?v=1781019656";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Gears.jpg?v=1781019660";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Tow_Hitch.jpg?v=1781019666";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38M-SDM_Left_Lights.jpg?v=1781019671";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38H_Seat.jpg?v=1781019675";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_DCT38H_PTO.jpg?v=1781019681";"";"";"";"";"";"165";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"Twin-blade system delivers an even, precise cut";"Seven adjustable cutting heights easily set via a";"6 Speed gearbox (5 forward / 1 reverse) over";"";"";"";"";"";"";"No";"Yes";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"";"";"";"";"";"";"";"98cm";"";"";"";"";"";"";"";"Other";"Metal";"Spectrum DCT38M-SDM";"DCT38M-SDM";"";"";"";"";"";"Petrol/Diesel";"";"";"";""
