"shopifyHierarchyId";"sku";"description";"marketingText";"brand";"unitQuantity";"countryOfOriginName";"ageRestriction";"baseColour";"specificColour";"barcode";"vatRate";"image1";"image2";"image3";"image4";"image5";"image6";"image7";"image8";"image9";"image10";"variationId";"width";"height";"depth";"dimensionsUom";"grossWeight";"weightUom";"recycleAdvice";"packagingType";"productFeatures1";"productFeatures2";"productFeatures3";"shippingWidth";"shippingHeight";"shippingDepth";"shippingDimensionsUom";"shippingWeight";"shippingWeightUom";"aerosolPressurisedContainers";"containsBattery";"whatIsInBox";"usageCount";"numberOfUnits";"numberOfPieces";"safetyWarnings";"manufacturersAddress";"outdoorLivingSize";"outdoorLivingControllerType";"outdoorLivingEuSparePartAvailabilityDuration";"outdoorLivingEuSparePartAvailabilityDurationUnitOfMeasure";"outdoorLivingManufacturerWarrantyDescription";"outdoorLivingMaterialType";"outdoorLivingNumberOfSets";"outdoorLivingPowerSource";"outdoorLivingScent";"outdoorLivingSpecialFeature";"outdoorLivingVoltage"
"gid://shopify/TaxonomyCategory/hg-12-3-4-2";"TG45SC-E";"Spectrum TG45SC-E Petrol Scarifier & Aerator - 223cc, 45cm, Electric Key Start";"The Spectrum TG45SC-E takes the same 2-in-1 scarifier and aerator platform as our standard TG45SC and adds an electric key-start system - turn a key, the engine fires, you're working. No recoil pull, no wrenched shoulders on a cold morning, no half-dozen attempts when the engine has sat over winter. Key start (with recoil backup) The electric key start is the easiest-to-use ignition on any scarifier in this price band. An on-board battery cranks the engine on demand; a traditional recoil starter is retained as a backup if the battery is flat. Worth the upgrade for anyone with a shoulder, back or grip issue that makes recoil starting a chore - or anyone who simply prefers turning a key over yanking a cord. Two jobs, one machine The TG45SC-E ships with a 45cm scarifier cassette fitted as standard, with an aerator cassette included in the box. Swap cassettes by hand - no tools, no fuss - and you've got a single machine that strips moss and thatch in spring, then opens compacted soil in autumn. Buying separate scarifying and aerating machines costs the best part of a thousand pounds for a comparable specification. 223cc petrol engine The 223cc engine produces 6hp / 4.5kW - enough power to keep the 18 scarifier blades cutting through dense thatch without stalling. Standard unleaded fuel, 3.6-litre tank. Designed for lawns up to 2,000m². Six working-height positions, from -12mm to +10mm A single lever adjusts the cassette height across six positions. Run at -12mm for an aggressive thatch strip, +10mm to lightly tickle the surface of a newer lawn. Adjustability matters most when you're working different lawns or recovering from a bad winter. Blade-engage clutch - leave the engine running A green engagement lever clutches the blades in and out independently of the engine. Stop to empty the 45-litre collector, lift the machine over a path, reposition for a second pass - the engine stays running. Built around a steel deck A pressed steel deck holds the blade shafts in true alignment under load - the single most important thing for cassette life and cutting consistency. Foldable soft-grip handles fold down for storage, and double ball-bearing wheels push smoothly across rough ground. Why buy from 5-year Spectrum warranty (T&C's apply) - supported directly by us, not by a generic distributor UK stock, UK dispatch, UK after-sales Spare parts and service support available throughout the warranty period";"Spectrum";"Each";"China";"No";"Green";"";"5061122340189";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Main-2_b0b4e1c0-97fc-492f-a594-0e9518244652.jpg?v=1781019760";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Main_80c93b29-e755-49b2-ae31-5262cb36dc3d.jpg?v=1781019764";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Battery-Tray.jpg?v=1781019767";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Battery.jpg?v=1781019770";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-HOC_7c9d0f89-1cd3-4a56-9d8e-19f4b72e0043.jpg?v=1781019774";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-HOC-Engine_3caf8758-ccd8-4943-a5d9-8f299d85ed95.jpg?v=1781019780";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Handles_e6668063-d384-41ec-9ec3-49520fe3fcce.jpg?v=1781019784";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Grassbox_a5429286-e4af-4e69-b4c0-50428adb5f6a.jpg?v=1781019787";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Blades_a151b64f-4db0-4755-8698-b12f1945475e.jpg?v=1781019790";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-SW420-Expert-Scarifier-Cassettes_0068034f-d7c3-4bd9-9f12-11b4b8f5d516.jpg?v=1781019793";"";"";"";"";"";"34";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"Electric key start with recoil backup";"True 2-in-1 machine";"223cc 4-stroke petrol engine, 6hp / 4.5kW";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"Other";"Steel";"";"Petrol/Diesel";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-4-2";"TG45SC";"Spectrum TG45SC Petrol Scarifier & Aerator - 223cc, 45cm, 2-in-1";"If your lawn looks tired by the back end of winter - patchy, mossy, slow to green up in spring - the problem isn't usually the grass. It's the layer of thatch and compacted soil sitting on top of it, choking out air, water and feed. The Spectrum TG45SC is built to fix exactly that, with one machine that scarifies and aerates lawns up to 2,000m². Two jobs, one machine The TG45SC ships with a 45cm scarifier cassette fitted as standard, with an aerator cassette included in the box. Swap cassettes by hand - no tools, no fuss - and you've got a single machine that strips moss and thatch in spring, then opens compacted soil in autumn. Buying separate scarifying and aerating machines costs the best part of a thousand pounds for a comparable specification. 223cc petrol engine, recoil start The 223cc engine produces 6hp / 4.5kW - enough power to keep the 18 scarifier blades cutting through dense thatch without stalling. Recoil start, standard unleaded fuel, a 3.6-litre tank: nothing exotic to remember, nothing that needs a battery on charge. Six working-height positions, from -12mm to +10mm A single lever adjusts the cassette height across six positions. Run at -12mm for an aggressive thatch strip, +10mm to lightly tickle the surface of a newer lawn. Most users will spend their time around the middle of - the adjustability matters most when you're working different lawns or recovering from a bad winter. Blade-engage clutch - leave the engine running A green engagement lever clutches the blades in and out independently of the engine. Stop to empty the 45-litre collector, lift the machine over a path, reposition for a second pass - the engine stays running. No yanking the recoil cord a dozen times a session. Built around a steel deck Plastic decks warp, crack and flex under the load of a working scarifier. The TG45SC uses a pressed steel deck that holds the blade shafts in true alignment under load - the single most important thing for cassette life and cutting consistency. Foldable soft-grip handles fold down for storage, and double ball-bearing wheels push smoothly across rough ground. A note on the clippings Resist the temptation to throw moss and thatch on the compost heap - both can regrow. Bag them up and put them out with the green waste instead. Why buy from 5-year Spectrum warranty (T&C's apply) - supported directly by us, not by a generic distributor UK stock, UK dispatch, UK after-sales Spare parts and service support available throughout the warranty period";"Spectrum";"Each";"China";"No";"Green";"";"5061122340127";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Main-2.jpg?v=1781019733";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Main.jpg?v=1781019736";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-HOC.jpg?v=1781019741";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-HOC-Engine.jpg?v=1781019745";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Handles.jpg?v=1781019748";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Grassbox.jpg?v=1781019751";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-TG45SC-Blades.jpg?v=1781019754";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum-SW420-Expert-Scarifier-Cassettes.jpg?v=1781019757";"";"";"";"";"";"";"";"34";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"True 2-in-1 machine";"223cc 4-stroke petrol engine, 6hp / 4.5kW";"45cm working width covering lawns up to 2,000m²";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"Other";"Steel";"";"Petrol/Diesel";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-4-2";"C-SP31130";"Spectrum 122cm Steel Towed Spike-Type Roller Aerator | SP31130";"Spectrum SP31130 Towed Spike Aerator With this tow-behind spike aerator from Spectrum at your disposal, you'll be able to achieve thorough, deep-level aeration, without leaving your lawn strewn with unsightly soil plugs, as happens with core-type aerators. The Spectrum SP31130 Roller Aerator features a series of 108, sharp steel spikes, which will open-up almost invisible slits in the turf to allow air, moisture and nutrients to better penetrate, which in turn encourages vigorous, verdant growth. Additionally, this process will relieve soil compaction on high-footfall areas. Capable of being ballasted with up to 114 litres of water, the Spectrum SP31130 Towed Spike-Type Roller Aerator can be made as heavy as the condition of your lawn requires (the maximum aeration depth is 6.4cm). Manufactured from heavy-duty steel with a protective powder-coated paint finish, the Spectrum SP31130 will give you season upon season of unfailing service. A universal hitchpin enables compatiblity with all makes and models of tow-capable garden tractor.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450054";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-sp31129-700w.jpg?v=1781019605";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"kg";"Recycle metal, plastic and packaging at a local recycling centre.";"Box";"A fast working towed spike-type roller aerator";"Designed to achieve deep penetration without";"Encourages vigorous grass growth and loosens";"";"";"";"";"";"";"No";"No";"";"";"";"";"Moving parts and pinch points. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"2 Year Limited Warranty";"Steel";"";"Manual";"";"";""
"gid://shopify/TaxonomyCategory/hg-12-3-4-2";"C-SW420-EXPERT";"Spectrum SW420-Expert 2-in-1 Petrol Lawn Scarifier/Aerator";"Power and Precision for a Healthier Lawn Achieve a lush, well-maintained lawn with the Spectrum SW420 Expert 2-in-1 Petrol Lawn Scarifier & Aerator. Designed to remove thatch and moss efficiently, this powerful machine enhances grass growth by improving airflow and nutrient absorption. Whether you're a dedicated gardener or a professional landscaper, the SW420 Expert provides the performance and ease of use you need. High-Performance Engine for Maximum Efficiency Powered by a 212cc air-cooled four-stroke OHV engine, this machine delivers 4.5kW of power, ensuring effortless removal of unwanted debris. This level of power is typically found in high-end professional scarifiers, making it ideal for tackling even the most challenging lawn conditions. The OHV engine design promotes quiet operation, fuel efficiency, and reduced emissions, offering both economic and environmental benefits. Dual-Function Design: Scarifying & Aerating With two interchangeable cassettes, the SW420 Expert seamlessly switches between scarifying and aerating modes. Use the scarifying blades to remove surface thatch or swap to the aerator - 13 sets of tines - to enhance root growth, ensuring year-round lawn health. Adjustable Depth for Customized Lawn Care The six-stage depth adjustment lets you fine-tune the machine to match your lawn's specific needs. Opt for a higher setting for light aeration or go deeper for intensive scarification. Adjustments are made effortlessly using the handlebar-mounted lever, ensuring a seamless experience. Convenient Features for Effortless Operation 45-litre debris collector: Keeps your lawn clean, eliminating the need for manual raking. Ball-bearing wheels: Provide smooth movement across all types of terrain with minimal effort. Foldable handlebar & collapsible fabric catcher: Simplifies storage and transportation. Large fuel tank: Reduces the need for frequent refueling, allowing uninterrupted operation. Built for Durability The sturdy steel deck and housing ensure long-lasting performance, even under tough conditions. Built for reliability, this scarifier and aerator is a solid investment for any lawn care routine. Key Benefits ✔ Powerful 212cc engine for efficient performance ✔ 2-in-1 functionality: Scarify and aerate with ease ✔ Adjustable depth settings for tailored lawn care ✔ 45-litre debris collector for a clean, hassle-free experience ✔ Compact, foldable design for easy transport and storage Upgrade your lawn maintenance with the Spectrum SW420 Expert 2-in-1 Petrol Lawn Scarifier & Aerator. Whether you're maintaining a home garden or managing professional landscapes, this machine delivers the power, versatility, and durability needed to keep your lawn in top condition.";"Spectrum";"Each";"China";"No";"Green";"";"5065022450337";"20";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Scarifier_Main.jpg?v=1781019536";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Scarifier_Left.jpg?v=1781019540";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Scarifier_Handles.jpg?v=1781019543";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Scarifier_Throttle.jpg?v=1781019546";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Scarifier_Engine.jpg?v=1781019549";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Scarifier_HOC.jpg?v=1781019552";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-Spectrum_SW420_Expert_Grassbox.jpg?v=1781019555";"https://cdn.shopify.com/s/files/1/0654/0004/5735/files/tesco-SpectrumSW420ExpertScarifierCassettes.jpg?v=1781019558";"";"";"";"";"";"";"";"34";"kg";"Recycle metal and packaging responsibly; drain fuel and oil before disposal.";"Box";"Powerful Performance for Homeowners";"Enhance Lawn Health";"Fuel-Efficient & Low Emission";"";"";"";"";"";"";"No";"No";"";"";"";"";"Petrol engine — do not run in enclosed spaces; hot surfaces and moving parts. Read the instruction manual and wear suitable PPE before use.";"";"";"";"";"";"Other";"Steel";"";"Petrol/Diesel";"";"";""
